expert_kind,M,stage,median_ms,mean_ms,min_ms,p95_ms,achieved_tflops,achieved_gbps,compute_util,mem_bw_util,experts_used,rotation_ok
routed,1,w13_gemm,0.049968,0.051211,0.049152,0.0512,0.2308,231.0291,0.0036,0.722,26,True
routed,1,silu_and_mul,0.019776,0.020769,0.018432,0.026848,0.0004,0.4272,0.0,0.0013,26,True
routed,1,w2_gemm,0.04016,0.041665,0.038848,0.050272,0.1436,143.7769,0.0022,0.4493,26,True
routed,1,full_chain,0.080096,0.081224,0.078624,0.089696,0.2161,216.3228,0.0033,0.676,26,True
routed,2,w13_gemm,0.0516,0.052972,0.0512,0.054208,0.4471,223.9107,0.0069,0.6997,26,True
routed,2,silu_and_mul,0.019664,0.02022,0.018624,0.021568,0.0007,0.8592,0.0,0.0027,26,True
routed,2,w2_gemm,0.04096,0.043938,0.039104,0.057632,0.2816,141.1375,0.0043,0.4411,26,True
routed,2,full_chain,0.086352,0.086957,0.08576,0.088064,0.4009,200.9413,0.0062,0.6279,26,True
routed,4,w13_gemm,0.052128,0.052765,0.0512,0.05296,0.8851,222.016,0.0136,0.6938,26,True
routed,4,silu_and_mul,0.019808,0.020602,0.018624,0.028128,0.0014,1.706,0.0,0.0053,26,True
routed,4,w2_gemm,0.040976,0.043117,0.038912,0.057024,0.563,141.4198,0.0087,0.4419,26,True
routed,4,full_chain,0.087056,0.088151,0.086016,0.088064,0.7953,199.8927,0.0122,0.6247,26,True
routed,8,w13_gemm,0.052496,0.053193,0.051232,0.053248,1.7577,221.2008,0.027,0.6913,26,True
routed,8,silu_and_mul,0.0196,0.020182,0.018592,0.022368,0.0029,3.4482,0.0,0.0108,26,True
routed,8,w2_gemm,0.04096,0.042844,0.038912,0.05904,1.1264,142.15,0.0173,0.4442,26,True
routed,8,full_chain,0.087504,0.088037,0.086016,0.088096,1.5824,200.0161,0.0243,0.6251,26,True
routed,16,w13_gemm,0.053248,0.053874,0.051328,0.054272,3.4658,219.5385,0.0533,0.6861,26,True
routed,16,silu_and_mul,0.020032,0.020622,0.01856,0.028288,0.0056,6.7476,0.0001,0.0211,26,True
routed,16,w2_gemm,0.04104,0.043464,0.039616,0.059328,2.2484,143.2203,0.0346,0.4476,26,True
routed,16,full_chain,0.088064,0.088998,0.086912,0.08976,3.1447,201.0233,0.0484,0.6282,26,True
routed,32,w13_gemm,0.065696,0.066681,0.064224,0.06784,5.6183,180.3098,0.0864,0.5635,26,True
routed,32,silu_and_mul,0.019344,0.020474,0.018432,0.026464,0.0116,13.9752,0.0002,0.0437,26,True
routed,32,w2_gemm,0.039024,0.041647,0.037184,0.0576,4.7291,153.4531,0.0728,0.4795,26,True
routed,32,full_chain,0.10648,0.107046,0.104448,0.108544,5.2017,170.0255,0.08,0.5313,26,True
routed,64,w13_gemm,0.075584,0.076216,0.073728,0.076096,9.7666,160.84,0.1503,0.5026,26,True
routed,64,silu_and_mul,0.019552,0.020649,0.018592,0.028672,0.023,27.653,0.0004,0.0864,26,True
routed,64,w2_gemm,0.03984,0.041452,0.038912,0.05552,9.2645,155.8618,0.1425,0.4871,26,True
routed,64,full_chain,0.116928,0.117704,0.115104,0.118272,9.4738,161.699,0.1458,0.5053,26,True
routed,128,w13_gemm,0.08352,0.083889,0.08176,0.085024,17.6771,153.0115,0.272,0.4782,26,True
routed,128,silu_and_mul,0.019776,0.020138,0.018656,0.024896,0.0456,54.6796,0.0007,0.1709,26,True
routed,128,w2_gemm,0.04728,0.048853,0.04528,0.05264,15.6133,140.6917,0.2402,0.4397,26,True
routed,128,full_chain,0.132224,0.132699,0.12976,0.133312,16.7556,155.1365,0.2578,0.4848,26,True
routed,256,w13_gemm,0.124832,0.125391,0.116736,0.129632,23.6541,112.3486,0.3639,0.3511,26,True
routed,256,silu_and_mul,0.020192,0.021114,0.018912,0.026976,0.0893,107.1062,0.0014,0.3347,26,True
routed,256,w2_gemm,0.055872,0.056667,0.054944,0.057472,26.4246,134.8912,0.4065,0.4215,26,True
routed,256,full_chain,0.203408,0.197818,0.181888,0.211456,21.7837,116.6327,0.3351,0.3645,26,True
routed,512,w13_gemm,0.243824,0.248155,0.235424,0.257728,24.2207,67.7336,0.3726,0.2117,26,True
routed,512,silu_and_mul,0.028032,0.028103,0.02512,0.033504,0.1286,154.3014,0.002,0.4822,26,True
routed,512,w2_gemm,0.08256,0.095582,0.080384,0.11264,35.7654,112.7194,0.5502,0.3522,26,True
routed,512,full_chain,0.398656,0.424771,0.385184,0.485888,22.2296,75.6205,0.342,0.2363,26,True
routed,1024,w13_gemm,0.301712,0.324483,0.297376,0.364544,39.1471,71.2461,0.6023,0.2226,26,True
routed,1024,silu_and_mul,0.04096,0.041364,0.039232,0.042528,0.176,211.2,0.0027,0.66,26,True
routed,1024,w2_gemm,0.201376,0.21294,0.199264,0.249824,29.3261,63.7864,0.4512,0.1993,26,True
routed,1024,full_chain,0.850672,0.825176,0.729408,0.853408,20.8352,50.5384,0.3205,0.1579,26,True
routed,2048,w13_gemm,0.682304,0.636535,0.533152,0.684992,34.6214,46.1045,0.5326,0.1441,26,True
routed,2048,silu_and_mul,0.072912,0.073007,0.071744,0.073696,0.1977,237.293,0.003,0.7415,26,True
routed,2048,w2_gemm,0.697232,0.689617,0.659456,0.737376,16.9401,28.5743,0.2606,0.0893,26,True
routed,2048,full_chain,1.732592,1.744061,1.728512,1.772096,20.4595,39.641,0.3148,0.1239,26,True
routed,4096,w13_gemm,2.196032,2.018999,1.15504,2.609152,21.5136,23.3968,0.331,0.0731,26,True
routed,4096,silu_and_mul,0.137248,0.137681,0.135872,0.138688,0.2101,252.1203,0.0032,0.7879,26,True
routed,4096,w2_gemm,1.09224,1.100426,0.99952,1.17072,21.6274,31.2008,0.3327,0.0975,26,True
routed,4096,full_chain,3.3492,3.37863,3.344416,3.422528,21.168,35.8479,0.3257,0.112,26,True
routed,8192,w13_gemm,4.661072,4.684778,3.3296,5.036032,20.272,19.5719,0.3119,0.0612,26,True
routed,8192,silu_and_mul,0.268288,0.268701,0.266784,0.269952,0.215,257.9542,0.0033,0.8061,26,True
routed,8192,w2_gemm,2.322352,2.287964,2.11968,2.324992,20.3434,26.8651,0.313,0.084,26,True
