expert_kind,M,stage,median_ms,mean_ms,min_ms,p95_ms,achieved_tflops,achieved_gbps,compute_util,mem_bw_util,experts_used,rotation_ok
routed,1,w13_gemm,0.050176,0.049943,0.013312,0.0512,0.2299,230.0714,0.0019,0.7669,26,True
routed,1,silu_and_mul,0.015296,0.015571,0.01344,0.019456,0.0005,0.5523,0.0,0.0018,26,True
routed,1,w2_gemm,0.03584,0.037101,0.021504,0.050176,0.1609,161.1071,0.0013,0.537,26,True
routed,1,full_chain,0.078848,0.078692,0.039936,0.079872,0.2195,219.7468,0.0018,0.7325,26,True
routed,2,w13_gemm,0.0512,0.051151,0.050176,0.051424,0.4506,225.66,0.0037,0.7522,26,True
routed,2,silu_and_mul,0.014336,0.016218,0.013312,0.023552,0.001,1.1786,0.0,0.0039,26,True
routed,2,w2_gemm,0.037888,0.040475,0.033792,0.053184,0.3044,152.5811,0.0025,0.5086,26,True
routed,2,full_chain,0.079872,0.079891,0.078848,0.079872,0.4334,217.2436,0.0036,0.7241,26,True
routed,4,w13_gemm,0.0512,0.051707,0.050176,0.052224,0.9011,226.04,0.0074,0.7535,26,True
routed,4,silu_and_mul,0.014336,0.015834,0.013312,0.023552,0.002,2.3571,0.0,0.0079,26,True
routed,4,w2_gemm,0.037888,0.039412,0.034816,0.052256,0.6089,152.9459,0.005,0.5098,26,True
routed,4,full_chain,0.079872,0.080477,0.078848,0.080896,0.8668,217.8718,0.0072,0.7262,26,True
routed,8,w13_gemm,0.0512,0.051624,0.050176,0.052224,1.8022,226.8,0.0149,0.756,26,True
routed,8,silu_and_mul,0.014336,0.015535,0.013312,0.022528,0.0039,4.7143,0.0,0.0157,26,True
routed,8,w2_gemm,0.03584,0.038442,0.033792,0.052224,1.2873,162.4571,0.0106,0.5415,26,True
routed,8,full_chain,0.079936,0.080822,0.078848,0.080896,1.7322,218.9528,0.0143,0.7298,26,True
routed,16,w13_gemm,0.051808,0.052797,0.050176,0.053248,3.5622,225.6405,0.0294,0.7521,26,True
routed,16,silu_and_mul,0.014336,0.015527,0.013312,0.018432,0.0079,9.4286,0.0001,0.0314,26,True
routed,16,w2_gemm,0.036864,0.038832,0.033792,0.052224,2.5031,159.4444,0.0207,0.5315,26,True
routed,16,full_chain,0.080896,0.081572,0.079872,0.08192,3.4234,218.8354,0.0283,0.7295,26,True
routed,32,w13_gemm,0.053248,0.053924,0.0512,0.054272,6.9317,222.4615,0.0573,0.7415,26,True
routed,32,silu_and_mul,0.014336,0.015428,0.013312,0.022528,0.0157,18.8571,0.0001,0.0629,26,True
routed,32,w2_gemm,0.037888,0.040437,0.03584,0.053152,4.8709,158.054,0.0403,0.5268,26,True
routed,32,full_chain,0.082944,0.083712,0.08192,0.083968,6.6777,218.2716,0.0552,0.7276,26,True
routed,64,w13_gemm,0.057344,0.057542,0.054272,0.058368,12.8731,212.0,0.1064,0.7067,26,True
routed,64,silu_and_mul,0.01536,0.017386,0.013312,0.031744,0.0293,35.2,0.0002,0.1173,26,True
routed,64,w2_gemm,0.036864,0.039786,0.032768,0.054368,10.0124,168.4444,0.0827,0.5615,26,True
routed,64,full_chain,0.088064,0.088917,0.08704,0.090112,12.5789,214.6977,0.104,0.7157,26,True
routed,128,w13_gemm,0.06144,0.062173,0.060416,0.063488,24.0299,208.0,0.1986,0.6933,26,True
routed,128,silu_and_mul,0.014336,0.015101,0.013312,0.017568,0.0629,75.4286,0.0005,0.2514,26,True
routed,128,w2_gemm,0.034816,0.036894,0.031744,0.053504,21.2028,191.0588,0.1752,0.6369,26,True
routed,128,full_chain,0.096256,0.096733,0.093184,0.098304,23.0167,213.1064,0.1902,0.7104,26,True
routed,256,w13_gemm,0.069632,0.070251,0.06656,0.072704,42.4056,201.4118,0.3505,0.6714,26,True
routed,256,silu_and_mul,0.01536,0.016739,0.013312,0.024576,0.1173,140.8,0.001,0.4693,26,True
routed,256,w2_gemm,0.048128,0.04985,0.045056,0.059392,30.6764,156.5957,0.2535,0.522,26,True
routed,256,full_chain,0.11776,0.118141,0.114688,0.119808,37.6273,201.4609,0.311,0.6715,26,True
routed,512,w13_gemm,0.093184,0.093313,0.089088,0.096256,63.3755,177.2308,0.5238,0.5908,26,True
routed,512,silu_and_mul,0.02048,0.020624,0.013312,0.027648,0.176,211.2,0.0015,0.704,26,True
routed,512,w2_gemm,0.066608,0.067459,0.063488,0.069792,44.3309,139.7146,0.3664,0.4657,26,True
routed,512,full_chain,0.157696,0.158665,0.155648,0.160768,56.1966,191.1688,0.4644,0.6372,26,True
routed,1024,w13_gemm,0.191488,0.191757,0.187392,0.195584,61.6809,112.2567,0.5098,0.3742,26,True
routed,1024,silu_and_mul,0.036384,0.03658,0.033792,0.037888,0.1981,237.7625,0.0016,0.7925,26,True
routed,1024,w2_gemm,0.105472,0.10615,0.1024,0.108544,55.9919,121.7864,0.4627,0.406,26,True
routed,1024,full_chain,0.34816,0.338391,0.29696,0.351232,50.9075,123.4824,0.4207,0.4116,26,True
routed,2048,w13_gemm,0.3584,0.356861,0.34816,0.364544,65.9105,87.7714,0.5447,0.2926,26,True
routed,2048,silu_and_mul,0.067584,0.067279,0.064512,0.068608,0.2133,256.0,0.0018,0.8533,26,True
