expert_kind,M,stage,median_ms,mean_ms,min_ms,p95_ms,achieved_tflops,achieved_gbps,compute_util,mem_bw_util,experts_used,rotation_ok
routed,1,w13_gemm,0.03584,0.037895,0.027648,0.048128,0.3218,322.1,0.0009,0.3728,26,True
routed,1,silu_and_mul,0.016384,0.0172,0.014336,0.021504,0.0004,0.5156,0.0,0.0006,26,True
routed,1,w2_gemm,0.029696,0.031538,0.02768,0.03888,0.1942,194.4397,0.0005,0.225,26,True
routed,1,full_chain,0.060416,0.063003,0.058368,0.082816,0.2865,286.7881,0.0008,0.3319,26,True
routed,2,w13_gemm,0.037888,0.039014,0.03584,0.049056,0.6089,304.9459,0.0017,0.3529,26,True
routed,2,silu_and_mul,0.016384,0.01713,0.014336,0.023488,0.0009,1.0313,0.0,0.0012,26,True
routed,2,w2_gemm,0.031616,0.033292,0.029696,0.04096,0.3648,182.8502,0.001,0.2116,26,True
routed,2,full_chain,0.061488,0.064822,0.059392,0.089088,0.563,282.1962,0.0016,0.3266,26,True
routed,4,w13_gemm,0.03584,0.037732,0.033792,0.050176,1.2873,322.9143,0.0036,0.3737,26,True
routed,4,silu_and_mul,0.016336,0.016669,0.014336,0.022528,0.0017,2.0686,0.0,0.0024,26,True
routed,4,w2_gemm,0.03072,0.033158,0.028672,0.049152,0.7509,188.6333,0.0021,0.2183,26,True
routed,4,full_chain,0.06144,0.065121,0.059392,0.094176,1.1269,283.2333,0.0031,0.3278,26,True
routed,8,w13_gemm,0.03584,0.037976,0.034816,0.049152,2.5746,324.0,0.0071,0.375,26,True
routed,8,silu_and_mul,0.01632,0.016952,0.014336,0.023616,0.0035,4.1412,0.0,0.0048,26,True
routed,8,w2_gemm,0.03128,0.032849,0.029696,0.04608,1.475,186.1402,0.0041,0.2154,26,True
routed,8,full_chain,0.06144,0.064763,0.059392,0.099328,2.2537,284.8667,0.0062,0.3297,26,True
routed,16,w13_gemm,0.036864,0.038669,0.0256,0.057344,5.0062,317.1111,0.0138,0.367,26,True
routed,16,silu_and_mul,0.016384,0.01706,0.01536,0.021504,0.0069,8.25,0.0,0.0095,26,True
routed,16,w2_gemm,0.03072,0.032931,0.029696,0.047104,3.0037,191.3333,0.0083,0.2215,26,True
routed,16,full_chain,0.061472,0.065622,0.060416,0.094208,4.5051,287.9833,0.0124,0.3333,26,True
routed,32,w13_gemm,0.036864,0.03826,0.034816,0.047104,10.0124,321.3333,0.0277,0.3719,26,True
routed,32,silu_and_mul,0.015408,0.016227,0.013408,0.018432,0.0146,17.5452,0.0,0.0203,26,True
routed,32,w2_gemm,0.031632,0.033032,0.029696,0.040896,5.8343,189.3131,0.0161,0.2191,26,True
routed,32,full_chain,0.062464,0.065464,0.060416,0.083968,8.8671,289.8361,0.0245,0.3355,26,True
routed,64,w13_gemm,0.037888,0.039058,0.03584,0.04608,19.4837,320.8649,0.0538,0.3714,26,True
routed,64,silu_and_mul,0.016384,0.017288,0.01536,0.018528,0.0275,33.0,0.0001,0.0382,26,True
routed,64,w2_gemm,0.031744,0.033565,0.03072,0.04096,11.6274,195.6129,0.0321,0.2264,26,True
routed,64,full_chain,0.069632,0.072072,0.062464,0.098304,15.9086,271.5294,0.0439,0.3143,26,True
routed,128,w13_gemm,0.036864,0.038198,0.033792,0.048128,40.0498,346.6667,0.1106,0.4012,26,True
routed,128,silu_and_mul,0.016384,0.017464,0.01536,0.023456,0.055,66.0,0.0002,0.0764,26,True
routed,128,w2_gemm,0.034336,0.035596,0.032768,0.041984,21.4992,193.7297,0.0594,0.2242,26,True
routed,128,full_chain,0.064512,0.067916,0.062464,0.099328,34.3423,317.9683,0.0949,0.368,26,True
routed,256,w13_gemm,0.03584,0.037442,0.031744,0.0512,82.3881,391.3143,0.2276,0.4529,26,True
routed,256,silu_and_mul,0.016384,0.016897,0.01536,0.019456,0.11,132.0,0.0003,0.1528,26,True
routed,256,w2_gemm,0.03168,0.033708,0.029696,0.043008,46.6034,237.899,0.1287,0.2753,26,True
routed,256,full_chain,0.06144,0.065598,0.058368,0.084992,72.1189,386.1333,0.1992,0.4469,26,True
routed,512,w13_gemm,0.06144,0.06177,0.058496,0.062464,96.1195,268.8,0.2655,0.3111,26,True
routed,512,silu_and_mul,0.016384,0.017181,0.01536,0.019456,0.22,264.0,0.0006,0.3056,26,True
routed,512,w2_gemm,0.03584,0.037254,0.033792,0.049152,82.3881,259.6571,0.2276,0.3005,26,True
routed,512,full_chain,0.086016,0.085876,0.078848,0.088064,103.027,350.4762,0.2846,0.4056,26,True
routed,1024,w13_gemm,0.096256,0.09691,0.091136,0.098304,122.7057,223.3191,0.339,0.2585,26,True
routed,1024,silu_and_mul,0.02048,0.021067,0.016384,0.026624,0.352,422.4,0.001,0.4889,26,True
routed,1024,w2_gemm,0.04608,0.047002,0.044032,0.048128,128.1593,278.7556,0.354,0.3226,26,True
routed,1024,full_chain,0.13824,0.139059,0.135168,0.14336,128.2114,310.9926,0.3542,0.3599,26,True
routed,2048,w13_gemm,0.147456,0.148378,0.13824,0.1536,160.1991,213.3333,0.4425,0.2469,26,True
routed,2048,silu_and_mul,0.027648,0.027711,0.0256,0.03072,0.5215,625.7778,0.0014,0.7243,26,True
routed,2048,w2_gemm,0.06144,0.062056,0.058368,0.065536,192.2389,324.2667,0.531,0.3753,26,True
routed,2048,full_chain,0.210944,0.210515,0.200704,0.216064,168.0441,325.5922,0.4642,0.3768,26,True
routed,4096,w13_gemm,0.246272,0.246852,0.238688,0.251904,191.8393,208.632,0.5299,0.2415,26,True
routed,4096,silu_and_mul,0.049152,0.049789,0.048128,0.052224,0.5867,704.0,0.0016,0.8148,26,True
routed,4096,w2_gemm,0.1152,0.116923,0.11264,0.121856,205.0549,295.8222,0.5664,0.3424,26,True
routed,4096,full_chain,0.367616,0.369113,0.361472,0.376832,192.8529,326.5961,0.5327,0.378,26,True
routed,8192,w13_gemm,0.407552,0.408024,0.398336,0.415744,231.8459,223.8392,0.6405,0.2591,26,True
routed,8192,silu_and_mul,0.103456,0.103816,0.099328,0.10752,0.5575,668.9416,0.0015,0.7742,26,True
routed,8192,w2_gemm,0.236544,0.237282,0.227328,0.243712,199.7288,263.7576,0.5517,0.3053,26,True
routed,8192,full_chain,0.68864,0.692736,0.652288,0.726016,205.9009,323.5688,0.5688,0.3745,26,True
routed,16384,w13_gemm,0.825856,0.852235,0.802816,0.919552,228.8275,206.9585,0.6321,0.2395,26,True
routed,16384,silu_and_mul,0.20992,0.210268,0.205824,0.214016,0.5495,659.3561,0.0015,0.7631,26,True
routed,16384,w2_gemm,0.487424,0.501004,0.479232,0.555008,193.8544,244.1681,0.5355,0.2826,26,True
routed,16384,full_chain,1.56672,1.57569,1.523712,1.62304,181.0044,273.4013,0.5,0.3164,26,True
routed,32768,w13_gemm,1.943552,1.905932,1.624064,2.046976,194.4672,169.9473,0.5372,0.1967,26,True
routed,32768,silu_and_mul,0.410624,0.411711,0.407552,0.415744,0.5618,674.1546,0.0016,0.7803,26,True
routed,32768,w2_gemm,1.004544,1.005674,0.99328,1.017856,188.1237,231.209,0.5197,0.2676,26,True
routed,32768,full_chain,3.531264,3.56387,3.515392,3.663872,160.6129,237.701,0.4437,0.2751,26,True
routed,65536,w13_gemm,4.040704,4.020081,3.598336,4.129792,187.0749,160.6325,0.5168,0.1859,26,True
routed,65536,silu_and_mul,0.831024,0.831347,0.822272,0.837632,0.5552,666.224,0.0015,0.7711,26,True
routed,65536,w2_gemm,2.551296,2.415821,1.968128,2.557952,148.1432,179.8114,0.4092,0.2081,26,True
routed,65536,full_chain,7.102464,7.085343,6.971392,7.118848,159.7097,233.9285,0.4412,0.2708,26,True
routed,131072,w13_gemm,8.124416,8.15956,8.10496,8.300544,186.0846,158.3625,0.514,0.1833,18,True
routed,131072,silu_and_mul,1.667072,1.667852,1.651712,1.68448,0.5535,664.2162,0.0015,0.7688,18,True
routed,131072,w2_gemm,4.087808,4.062126,3.33312,4.154368,184.9192,223.0381,0.5108,0.2581,18,True
routed,131072,full_chain,13.377024,13.636897,13.095936,14.434304,169.5942,247.113,0.4685,0.286,18,True
routed,262144,w13_gemm,16.310272,16.49279,16.13312,17.835009,185.3836,157.0588,0.5121,0.1818,9,False
routed,262144,silu_and_mul,3.350528,3.350756,3.316736,3.377152,0.5508,660.9682,0.0015,0.765,9,False
routed,262144,w2_gemm,8.223744,8.2509,8.216576,8.311808,183.837,221.0315,0.5078,0.2558,9,False
routed,262144,full_chain,27.759104,27.70518,25.667583,29.485056,163.4538,237.5426,0.4515,0.2749,9,False
routed,524288,w13_gemm,33.251329,33.819875,32.459778,35.798016,181.8668,153.7324,0.5024,0.1779,4,False
routed,524288,silu_and_mul,6.783488,6.78564,6.761472,6.8096,0.5441,652.9362,0.0015,0.7557,4,False
routed,524288,w2_gemm,16.600064,16.965161,16.536575,18.104321,182.1473,218.6525,0.5032,0.2531,4,False
routed,524288,full_chain,55.355906,55.638303,53.206017,58.440704,163.933,237.9265,0.4529,0.2754,4,False
routed,1048576,w13_gemm,68.147713,68.046972,64.690208,71.086082,177.4767,149.8522,0.4903,0.1734,2,False
routed,1048576,silu_and_mul,13.433856,13.43781,13.377536,13.4912,0.5495,659.4064,0.0015,0.7632,2,False
routed,1048576,w2_gemm,34.05312,34.228101,32.492542,36.136959,177.5847,213.0062,0.4906,0.2465,2,False
routed,1048576,full_chain,109.505024,109.422633,106.647552,112.771072,165.7396,240.3906,0.4578,0.2782,2,False
routed,2097152,w13_gemm,137.904121,137.982115,132.002823,142.647293,175.4063,148.0204,0.4845,0.1713,1,False
routed,2097152,silu_and_mul,26.980864,26.968108,26.724352,27.088896,0.5472,656.641,0.0015,0.76,1,False
routed,2097152,w2_gemm,70.724609,70.407374,66.559998,73.119743,171.0102,205.0387,0.4724,0.2373,1,False
routed,2097152,full_chain,222.474747,222.671913,218.340347,225.49913,163.1585,236.5691,0.4507,0.2738,1,False
shared,1,w13_gemm,0.04096,0.041373,0.01536,0.041984,0.5632,563.575,0.0016,0.6523,26,True
shared,1,silu_and_mul,0.01536,0.01594,0.013472,0.02048,0.0009,1.1,0.0,0.0013,26,True
shared,1,w2_gemm,0.034816,0.036054,0.026624,0.049152,0.3313,331.5735,0.0009,0.3838,26,True
shared,1,full_chain,0.065536,0.069143,0.041984,0.084992,0.5282,528.6406,0.0015,0.6119,26,True
shared,2,w13_gemm,0.04096,0.042571,0.040064,0.05328,1.1264,563.95,0.0031,0.6527,26,True
shared,2,silu_and_mul,0.014848,0.015996,0.013312,0.023552,0.0019,2.2759,0.0,0.0026,26,True
shared,2,w2_gemm,0.03584,0.037788,0.032768,0.047104,0.6437,322.3714,0.0018,0.3731,26,True
shared,2,full_chain,0.0692,0.072523,0.067584,0.089088,1.0005,501.2569,0.0028,0.5802,26,True
shared,4,w13_gemm,0.04096,0.041601,0.039936,0.043008,2.2528,564.7,0.0062,0.6536,26,True
shared,4,silu_and_mul,0.014336,0.015373,0.013312,0.02048,0.0039,4.7143,0.0,0.0055,26,True
shared,4,w2_gemm,0.03584,0.038015,0.033792,0.055296,1.2873,322.9143,0.0036,0.3737,26,True
shared,4,full_chain,0.068608,0.07109,0.06656,0.088192,2.0183,506.806,0.0056,0.5866,26,True
shared,8,w13_gemm,0.041024,0.042137,0.039936,0.047104,4.4986,565.3167,0.0124,0.6543,26,True
shared,8,silu_and_mul,0.0144,0.015955,0.013344,0.021504,0.0078,9.3867,0.0,0.0109,26,True
shared,8,w2_gemm,0.036864,0.039241,0.033792,0.053248,2.5031,315.0,0.0069,0.3646,26,True
shared,8,full_chain,0.068608,0.071519,0.067584,0.088064,4.0365,509.2537,0.0112,0.5894,26,True
shared,16,w13_gemm,0.041984,0.042195,0.04096,0.043008,8.7914,555.3171,0.0243,0.6427,26,True
shared,16,silu_and_mul,0.014352,0.016948,0.013312,0.033792,0.0157,18.8361,0.0,0.0218,26,True
shared,16,w2_gemm,0.03584,0.038157,0.034816,0.050176,5.1493,326.1714,0.0142,0.3775,26,True
shared,16,full_chain,0.069632,0.073384,0.068608,0.091136,7.9543,506.5882,0.022,0.5863,26,True
shared,32,w13_gemm,0.042128,0.043117,0.04096,0.04608,17.5227,559.2526,0.0484,0.6473,26,True
shared,32,silu_and_mul,0.015248,0.015995,0.013312,0.023424,0.0295,35.4586,0.0001,0.041,26,True
shared,32,w2_gemm,0.04096,0.041892,0.037888,0.050176,9.0112,289.2,0.0249,0.3347,26,True
shared,32,full_chain,0.07176,0.074595,0.069632,0.089088,15.4368,500.9266,0.0426,0.5798,26,True
shared,64,w13_gemm,0.045056,0.045267,0.043008,0.04608,32.768,533.8182,0.0905,0.6178,26,True
shared,64,silu_and_mul,0.014448,0.01627,0.013376,0.03072,0.0624,74.8439,0.0002,0.0866,26,True
shared,64,w2_gemm,0.036352,0.038179,0.033792,0.052224,20.3069,334.4225,0.0561,0.3871,26,True
shared,64,full_chain,0.073728,0.074415,0.07168,0.086016,30.0496,505.7778,0.083,0.5854,26,True
shared,128,w13_gemm,0.049152,0.049723,0.047104,0.0512,60.0747,509.3333,0.166,0.5895,26,True
shared,128,silu_and_mul,0.014336,0.015482,0.013312,0.018432,0.1257,150.8571,0.0003,0.1746,26,True
shared,128,w2_gemm,0.038912,0.040636,0.03584,0.052224,37.9419,328.4211,0.1048,0.3801,26,True
