expert_kind,M,stage,median_ms,mean_ms,min_ms,p95_ms,achieved_tflops,achieved_gbps,compute_util,mem_bw_util,experts_used,rotation_ok
routed,1,w13_gemm,0.200288,0.201449,0.198656,0.202016,0.2513,251.3986,0.0039,0.7856,75,True
routed,1,silu_and_mul,0.019888,0.02057,0.018528,0.026624,0.0005,0.6179,0.0,0.0019,75,True
routed,1,w2_gemm,0.106192,0.106457,0.104448,0.107712,0.237,237.1385,0.0036,0.7411,75,True
routed,1,full_chain,0.307232,0.308042,0.306048,0.308864,0.2458,245.8944,0.0038,0.7684,75,True
routed,2,w13_gemm,0.228848,0.230015,0.225568,0.231584,0.4399,220.1138,0.0068,0.6879,75,True
routed,2,silu_and_mul,0.019776,0.020541,0.018528,0.030912,0.001,1.2427,0.0,0.0039,75,True
routed,2,w2_gemm,0.115296,0.116145,0.11392,0.117728,0.4365,218.5557,0.0067,0.683,75,True
routed,2,full_chain,0.34176,0.342216,0.33792,0.344256,0.4419,221.1955,0.0068,0.6912,75,True
routed,4,w13_gemm,0.229376,0.231182,0.225344,0.23264,0.8777,219.7857,0.0135,0.6868,75,True
routed,4,silu_and_mul,0.019936,0.020614,0.018528,0.027104,0.0021,2.4655,0.0,0.0077,75,True
routed,4,w2_gemm,0.115968,0.116453,0.114464,0.118624,0.868,217.5718,0.0134,0.6799,75,True
routed,4,full_chain,0.346336,0.346881,0.340832,0.3504,0.8721,218.5568,0.0134,0.683,75,True
routed,8,w13_gemm,0.231616,0.232819,0.226208,0.234176,1.7385,218.0138,0.0267,0.6813,75,True
routed,8,silu_and_mul,0.02,0.020257,0.018496,0.02192,0.0041,4.9152,0.0001,0.0154,75,True
routed,8,w2_gemm,0.116736,0.11732,0.114592,0.119808,1.7246,216.7018,0.0265,0.6772,75,True
routed,8,full_chain,0.347152,0.347715,0.342496,0.352256,1.74,218.6094,0.0268,0.6832,75,True
routed,16,w13_gemm,0.236496,0.237404,0.231424,0.239776,3.4052,214.208,0.0524,0.6694,75,True
routed,16,silu_and_mul,0.019728,0.020036,0.018464,0.020672,0.0083,9.9659,0.0001,0.0311,75,True
routed,16,w2_gemm,0.118768,0.119475,0.116736,0.122784,3.3902,214.0978,0.0522,0.6691,75,True
routed,16,full_chain,0.357712,0.358121,0.351872,0.361536,3.3774,213.2551,0.052,0.6664,75,True
routed,32,w13_gemm,0.271696,0.273563,0.267584,0.279904,5.928,187.662,0.0912,0.5864,75,True
routed,32,silu_and_mul,0.019712,0.020314,0.018656,0.026176,0.0166,19.9481,0.0003,0.0623,75,True
routed,32,w2_gemm,0.143136,0.143613,0.140224,0.145536,5.6262,179.4804,0.0866,0.5609,75,True
routed,32,full_chain,0.414816,0.416038,0.410208,0.421984,5.8249,185.794,0.0896,0.5806,75,True
routed,64,w13_gemm,0.277024,0.279745,0.269952,0.296064,11.628,186.4184,0.1789,0.5826,75,True
routed,64,silu_and_mul,0.01992,0.020388,0.018528,0.022528,0.0329,39.4795,0.0005,0.1234,75,True
routed,64,w2_gemm,0.143104,0.143224,0.139456,0.145344,11.2548,183.1843,0.1732,0.5725,75,True
routed,64,full_chain,0.423936,0.426511,0.413824,0.444096,11.3991,185.5072,0.1754,0.5797,75,True
routed,128,w13_gemm,0.299824,0.301606,0.289696,0.31648,21.4874,176.6139,0.3306,0.5519,75,True
routed,128,silu_and_mul,0.020272,0.020294,0.019008,0.020608,0.0647,77.588,0.001,0.2425,75,True
routed,128,w2_gemm,0.185616,0.186079,0.182336,0.188416,17.3542,146.8784,0.267,0.459,75,True
routed,128,full_chain,0.511792,0.522473,0.502688,0.561152,18.8846,159.8089,0.2905,0.4994,75,True
routed,256,w13_gemm,0.613872,0.620451,0.585664,0.654688,20.9896,90.5311,0.3229,0.2829,75,True
routed,256,silu_and_mul,0.024576,0.025305,0.023232,0.028672,0.1067,128.0,0.0016,0.4,75,True
routed,256,w2_gemm,0.471024,0.455528,0.39344,0.474592,13.6775,62.3326,0.2104,0.1948,75,True
routed,256,full_chain,1.117168,1.111674,1.05264,1.194784,17.3027,78.8426,0.2662,0.2464,75,True
routed,512,w13_gemm,0.956528,1.100255,0.839168,1.382496,26.941,63.5814,0.4145,0.1987,75,True
routed,512,silu_and_mul,0.03072,0.031436,0.0296,0.031104,0.1707,204.8,0.0026,0.64,75,True
routed,512,w2_gemm,0.647424,0.645459,0.631424,0.651296,19.9018,51.8276,0.3062,0.162,75,True
routed,512,full_chain,2.001264,1.98602,1.913568,2.007072,19.3178,50.2999,0.2972,0.1572,75,True
routed,1024,w13_gemm,3.230448,3.121113,2.367488,3.422368,15.9543,22.0722,0.2455,0.069,75,True
routed,1024,silu_and_mul,0.055296,0.055414,0.054016,0.055584,0.1896,227.5556,0.0029,0.7111,75,True
routed,1024,w2_gemm,1.124032,1.156342,1.052672,1.26496,22.9262,37.3148,0.3527,0.1166,75,True
routed,1024,full_chain,4.33352,4.303253,3.938048,4.351328,17.8423,29.0362,0.2745,0.0907,75,True
routed,2048,w13_gemm,4.974768,5.053942,4.839424,5.384192,20.7204,18.5485,0.3188,0.058,75,True
routed,2048,silu_and_mul,0.10264,0.103194,0.101856,0.10448,0.2043,245.1853,0.0031,0.7662,75,True
routed,2048,w2_gemm,2.100416,2.12492,2.095104,2.236128,24.5378,27.9565,0.3775,0.0874,75,True
routed,2048,full_chain,7.116576,7.236364,6.944736,8.055584,21.7295,24.7536,0.3343,0.0774,75,True
routed,4096,w13_gemm,8.607152,8.592527,8.415232,8.816512,23.952,15.5937,0.3685,0.0487,56,True
routed,4096,silu_and_mul,0.2004,0.200742,0.198624,0.203136,0.2093,251.1559,0.0032,0.7849,56,True
routed,4096,w2_gemm,4.263792,4.310777,4.168288,4.767584,24.1755,21.6415,0.3719,0.0676,56,True
routed,4096,full_chain,12.818128,12.876999,12.797568,13.079008,24.1283,21.5963,0.3712,0.0675,56,True
routed,8192,w13_gemm,17.21416,17.337213,16.838593,18.495487,23.9522,12.67,0.3685,0.0396,33,True
routed,8192,silu_and_mul,0.395264,0.395677,0.391968,0.397568,0.2122,254.6736,0.0033,0.7959,33,True
