expert_kind,M,stage,median_ms,mean_ms,min_ms,p95_ms,achieved_tflops,achieved_gbps,compute_util,mem_bw_util,experts_used,rotation_ok
routed,1,w13_gemm,0.24576,0.246562,0.244736,0.246784,0.2048,204.8833,0.0017,0.6829,75,True
routed,1,silu_and_mul,0.014336,0.015764,0.013312,0.024576,0.0007,0.8571,0.0,0.0029,75,True
routed,1,w2_gemm,0.128,0.128725,0.127168,0.129024,0.1966,196.736,0.0016,0.6558,75,True
routed,1,full_chain,0.37376,0.374136,0.371712,0.374784,0.202,202.126,0.0017,0.6738,75,True
routed,2,w13_gemm,0.224864,0.2273,0.223232,0.226304,0.4477,224.0137,0.0037,0.7467,75,True
routed,2,silu_and_mul,0.0152,0.016079,0.013312,0.022528,0.0013,1.6168,0.0,0.0054,75,True
routed,2,w2_gemm,0.10608,0.106463,0.10448,0.106496,0.4745,237.5433,0.0039,0.7918,75,True
routed,2,full_chain,0.331776,0.332311,0.329728,0.333824,0.4552,227.8519,0.0038,0.7595,75,True
routed,4,w13_gemm,0.225824,0.227393,0.224256,0.227328,0.8915,223.2427,0.0074,0.7441,75,True
routed,4,silu_and_mul,0.014352,0.016753,0.01344,0.031744,0.0029,3.4247,0.0,0.0114,75,True
routed,4,w2_gemm,0.106496,0.107267,0.105472,0.108544,0.9452,236.9231,0.0078,0.7897,75,True
routed,4,full_chain,0.3328,0.333006,0.330752,0.333824,0.9075,227.4462,0.0075,0.7582,75,True
routed,8,w13_gemm,0.22528,0.226821,0.223232,0.227328,1.7873,224.1455,0.0148,0.7472,75,True
routed,8,silu_and_mul,0.01536,0.017356,0.014336,0.029696,0.0053,6.4,0.0,0.0213,75,True
routed,8,w2_gemm,0.106496,0.107195,0.105472,0.108544,1.8905,237.5385,0.0156,0.7918,75,True
routed,8,full_chain,0.333824,0.334054,0.331776,0.33488,1.8095,227.3374,0.015,0.7578,75,True
routed,16,w13_gemm,0.229376,0.231097,0.226304,0.230464,3.5109,220.8571,0.029,0.7362,75,True
routed,16,silu_and_mul,0.01536,0.015361,0.014336,0.017408,0.0107,12.8,0.0001,0.0427,75,True
routed,16,w2_gemm,0.109568,0.109815,0.10752,0.110592,3.6749,232.0748,0.0304,0.7736,75,True
routed,16,full_chain,0.338448,0.339048,0.336896,0.339968,3.5696,225.3933,0.0295,0.7513,75,True
routed,32,w13_gemm,0.243712,0.244019,0.24064,0.246784,6.6087,209.2101,0.0546,0.6974,75,True
routed,32,silu_and_mul,0.014432,0.015327,0.013312,0.02048,0.0227,27.2461,0.0002,0.0908,75,True
routed,32,w2_gemm,0.118784,0.119114,0.115712,0.120832,6.7796,216.2759,0.056,0.7209,75,True
routed,32,full_chain,0.36352,0.363827,0.360448,0.365568,6.6468,212.0113,0.0549,0.7067,75,True
routed,64,w13_gemm,0.254976,0.256635,0.25088,0.258048,12.6334,202.5381,0.1044,0.6751,75,True
routed,64,silu_and_mul,0.01536,0.017551,0.014336,0.033792,0.0427,51.2,0.0004,0.1707,75,True
routed,64,w2_gemm,0.123904,0.124028,0.120832,0.125952,12.9989,211.5703,0.1074,0.7052,75,True
routed,64,full_chain,0.379904,0.380092,0.375808,0.381952,12.7203,207.0081,0.1051,0.69,75,True
routed,128,w13_gemm,0.26624,0.266772,0.263168,0.269312,24.1979,198.8923,0.2,0.663,75,True
routed,128,silu_and_mul,0.01536,0.016205,0.014336,0.022528,0.0853,102.4,0.0007,0.3413,75,True
routed,128,w2_gemm,0.159744,0.159258,0.141312,0.162912,20.1649,170.6667,0.1667,0.5689,75,True
routed,128,full_chain,0.401408,0.402289,0.398336,0.406528,24.0777,203.7551,0.199,0.6792,75,True
routed,256,w13_gemm,0.301056,0.303516,0.29696,0.304128,42.799,184.5986,0.3537,0.6153,75,True
routed,256,silu_and_mul,0.020448,0.02007,0.01536,0.022528,0.1282,153.8404,0.0011,0.5128,75,True
routed,256,w2_gemm,0.16384,0.164171,0.157696,0.16592,39.3216,179.2,0.325,0.5973,75,True
routed,256,full_chain,0.503808,0.504463,0.498688,0.50688,38.3677,174.8293,0.3171,0.5828,75,True
routed,512,w13_gemm,0.444416,0.451524,0.418816,0.460896,57.9858,136.8479,0.4792,0.4562,75,True
routed,512,silu_and_mul,0.030208,0.030228,0.028672,0.031744,0.1736,208.2712,0.0014,0.6942,75,True
routed,512,w2_gemm,0.340992,0.341688,0.339968,0.34304,37.7865,98.4024,0.3123,0.328,75,True
routed,512,full_chain,1.020928,1.019925,1.000448,1.022976,37.8675,98.5998,0.313,0.3287,75,True
routed,1024,w13_gemm,1.08032,1.084027,0.827392,1.234944,47.7077,66.0019,0.3943,0.22,75,True
routed,1024,silu_and_mul,0.052224,0.052429,0.050176,0.053248,0.2008,240.9412,0.0017,0.8031,75,True
routed,1024,w2_gemm,0.602624,0.608338,0.601088,0.648192,42.7627,69.6007,0.3534,0.232,75,True
routed,1024,full_chain,1.772544,1.773097,1.767424,1.775616,43.6209,70.9879,0.3605,0.2366,75,True
routed,2048,w13_gemm,2.20672,2.18325,1.890304,2.26816,46.7115,41.8153,0.386,0.1394,75,True
routed,2048,silu_and_mul,0.1024,0.102831,0.098304,0.106496,0.2048,245.76,0.0017,0.8192,75,True
routed,2048,w2_gemm,0.945152,0.955576,0.867328,1.140736,54.5305,62.1278,0.4507,0.2071,75,True
routed,2048,full_chain,3.115008,3.104932,2.861056,3.163136,49.6435,56.5523,0.4103,0.1885,75,True
routed,4096,w13_gemm,3.508224,3.524014,3.408896,3.560448,58.7643,38.258,0.4857,0.1275,75,True
routed,4096,silu_and_mul,0.211968,0.21158,0.201728,0.219136,0.1979,237.4493,0.0016,0.7915,75,True
routed,4096,w2_gemm,1.770496,1.753539,1.701888,1.772544,58.2205,52.118,0.4812,0.1737,75,True
routed,4096,full_chain,5.39136,5.390871,5.317632,5.467136,57.3658,51.3459,0.4741,0.1712,75,True
routed,8192,w13_gemm,6.90176,6.907372,6.803456,7.001088,59.7408,31.6012,0.4937,0.1053,51,True
routed,8192,silu_and_mul,0.41728,0.417997,0.406528,0.427008,0.201,241.2368,0.0017,0.8041,51,True
routed,8192,w2_gemm,3.761664,3.825624,3.375104,4.197376,54.8051,42.3705,0.4529,0.1412,51,True
routed,8192,full_chain,11.211264,11.305391,10.841088,12.007424,55.173,42.6491,0.456,0.1422,51,True
routed,16384,w13_gemm,13.596672,14.082212,13.406208,15.080448,60.6497,28.3802,0.5012,0.0946,28,True
routed,16384,silu_and_mul,0.842752,0.841851,0.828416,0.854016,0.1991,238.8919,0.0016,0.7963,28,True
routed,16384,w2_gemm,7.49056,7.498488,7.268352,7.725056,55.0449,39.1962,0.4549,0.1307,28,True
routed,16384,full_chain,22.43328,22.501683,21.017599,23.888897,55.1466,39.2633,0.4558,0.1309,28,True
routed,32768,w13_gemm,27.323904,27.94365,26.804224,29.984768,60.3599,26.4025,0.4988,0.088,15,True
routed,32768,silu_and_mul,1.721856,1.721713,1.701888,1.73568,0.1949,233.8483,0.0016,0.7795,15,True
routed,32768,w2_gemm,14.959616,15.215084,14.73024,16.310272,55.124,37.5703,0.4556,0.1252,15,True
routed,32768,full_chain,44.603392,44.523439,42.820606,45.770752,55.4719,37.8023,0.4584,0.126,15,True
routed,65536,w13_gemm,55.457279,56.030351,53.776382,59.132927,59.4788,25.1096,0.4916,0.0837,7,True
routed,65536,silu_and_mul,3.44832,3.446273,3.42528,3.460096,0.1946,233.5359,0.0016,0.7785,7,True
routed,65536,w2_gemm,30.807039,30.848061,29.873152,32.684032,53.5354,35.6707,0.4424,0.1189,7,True
routed,65536,full_chain,89.504257,89.548002,87.849983,90.683395,55.2876,36.8331,0.4569,0.1228,7,True
routed,131072,w13_gemm,111.600639,111.783547,108.427261,115.608574,59.1132,24.5042,0.4885,0.0817,3,True
routed,131072,silu_and_mul,6.889472,6.892278,6.86592,6.926336,0.1948,233.7788,0.0016,0.7793,3,True
routed,131072,w2_gemm,61.582336,61.756068,59.716606,64.603134,53.563,35.2804,0.4427,0.1176,3,True
routed,131072,full_chain,179.4217,179.367323,176.833542,180.941818,55.1603,36.3275,0.4559,0.1211,3,True
routed,262144,w13_gemm,223.310341,223.122841,216.137726,227.900421,59.0843,24.2669,0.4883,0.0809,2,True
routed,262144,silu_and_mul,13.790208,13.794066,13.745152,13.831168,0.1947,233.5879,0.0016,0.7786,2,True
routed,262144,w2_gemm,124.689411,124.493067,121.227264,127.179779,52.908,34.6472,0.4373,0.1155,2,True
routed,262144,full_chain,358.495239,358.605805,356.58548,360.120331,55.2138,36.1522,0.4563,0.1205,2,True
shared,1,w13_gemm,0.24576,0.245459,0.2304,0.247808,0.2048,204.8833,0.0017,0.6829,75,True
shared,1,silu_and_mul,0.016384,0.016446,0.014336,0.021632,0.0006,0.75,0.0,0.0025,75,True
shared,1,w2_gemm,0.129024,0.129154,0.128,0.130048,0.195,195.1746,0.0016,0.6506,75,True
shared,1,full_chain,0.372736,0.373334,0.366592,0.375808,0.2026,202.6813,0.0017,0.6756,75,True
shared,2,w13_gemm,0.262144,0.26223,0.258048,0.264192,0.384,192.1563,0.0032,0.6405,75,True
shared,2,silu_and_mul,0.01536,0.016079,0.014336,0.019424,0.0013,1.6,0.0,0.0053,75,True
shared,2,w2_gemm,0.11776,0.118664,0.116736,0.119808,0.4274,213.9826,0.0035,0.7133,75,True
shared,2,full_chain,0.330752,0.354124,0.32768,0.381952,0.4566,228.5573,0.0038,0.7619,75,True
shared,4,w13_gemm,0.22528,0.227208,0.223232,0.226304,0.8937,223.7818,0.0074,0.7459,75,True
shared,4,silu_and_mul,0.01536,0.016305,0.014336,0.023552,0.0027,3.2,0.0,0.0107,75,True
shared,4,w2_gemm,0.106496,0.106804,0.105472,0.10752,0.9452,236.9231,0.0078,0.7897,75,True
shared,4,full_chain,0.331776,0.33247,0.330752,0.333824,0.9103,228.1482,0.0075,0.7605,75,True
shared,8,w13_gemm,0.22528,0.227883,0.224256,0.227328,1.7873,224.1455,0.0148,0.7472,75,True
shared,8,silu_and_mul,0.01536,0.01594,0.014336,0.02048,0.0053,6.4,0.0,0.0213,75,True
shared,8,w2_gemm,0.106496,0.10744,0.105472,0.108544,1.8905,237.5385,0.0156,0.7918,75,True
shared,8,full_chain,0.333824,0.334038,0.331872,0.334848,1.8095,227.3374,0.015,0.7578,75,True
shared,16,w13_gemm,0.228352,0.228806,0.226304,0.2304,3.5266,221.8475,0.0291,0.7395,75,True
shared,16,silu_and_mul,0.014432,0.015771,0.013344,0.022528,0.0114,13.6231,0.0001,0.0454,75,True
shared,16,w2_gemm,0.108544,0.109059,0.106496,0.110592,3.7096,234.2642,0.0307,0.7809,75,True
shared,16,full_chain,0.33792,0.338026,0.335872,0.339008,3.5752,225.7454,0.0295,0.7525,75,True
shared,32,w13_gemm,0.242688,0.244634,0.24064,0.244736,6.6366,210.0928,0.0548,0.7003,75,True
shared,32,silu_and_mul,0.015344,0.01585,0.014336,0.021504,0.0214,25.6267,0.0002,0.0854,75,True
shared,32,w2_gemm,0.118784,0.119053,0.114688,0.120832,6.7796,216.2759,0.056,0.7209,75,True
shared,32,full_chain,0.362496,0.363298,0.360448,0.365568,6.6656,212.6102,0.0551,0.7087,75,True
shared,64,w13_gemm,0.252928,0.253974,0.249888,0.257024,12.7357,204.1781,0.1053,0.6806,75,True
shared,64,silu_and_mul,0.014832,0.016157,0.013312,0.0256,0.0442,53.0227,0.0004,0.1767,75,True
shared,64,w2_gemm,0.12288,0.123025,0.120832,0.123904,13.1072,213.3333,0.1083,0.7111,75,True
shared,64,full_chain,0.377856,0.378616,0.374784,0.382976,12.7892,208.1301,0.1057,0.6938,75,True
shared,128,w13_gemm,0.265216,0.268042,0.262144,0.270336,24.2913,199.6602,0.2008,0.6655,75,True
shared,128,silu_and_mul,0.016384,0.016622,0.014336,0.019392,0.08,96.0,0.0007,0.32,75,True
shared,128,w2_gemm,0.159744,0.15895,0.13312,0.16384,20.1649,170.6667,0.1667,0.5689,75,True
shared,128,full_chain,0.401408,0.402557,0.396288,0.407552,24.0777,203.7551,0.199,0.6792,75,True
shared,256,w13_gemm,0.303104,0.308245,0.297984,0.319488,42.5098,183.3513,0.3513,0.6112,75,True
shared,256,silu_and_mul,0.021504,0.02095,0.016384,0.024576,0.1219,146.2857,0.001,0.4876,75,True
shared,256,w2_gemm,0.160768,0.161321,0.157696,0.16384,40.073,182.6242,0.3312,0.6087,75,True
shared,256,full_chain,0.482304,0.496394,0.477184,0.528384,40.0784,182.6242,0.3312,0.6087,75,True
shared,512,w13_gemm,0.452096,0.507986,0.442368,0.582656,57.0007,134.5232,0.4711,0.4484,75,True
shared,512,silu_and_mul,0.029696,0.029962,0.027648,0.031744,0.1766,211.8621,0.0015,0.7062,75,True
shared,512,w2_gemm,0.323584,0.322847,0.304128,0.326656,39.8193,103.6962,0.3291,0.3457,75,True
shared,512,full_chain,1.020928,1.021563,1.017856,1.022976,37.8675,98.5998,0.313,0.3287,75,True
shared,1024,w13_gemm,1.171456,1.053082,0.854016,1.236992,43.9962,60.8671,0.3636,0.2029,75,True
shared,1024,silu_and_mul,0.052224,0.052306,0.050176,0.054272,0.2008,240.9412,0.0017,0.8031,75,True
shared,1024,w2_gemm,0.603136,0.61866,0.59904,0.636928,42.7264,69.5416,0.3531,0.2318,75,True
shared,1024,full_chain,1.77152,1.7732,1.768448,1.775616,43.6461,71.0289,0.3607,0.2368,75,True
shared,2048,w13_gemm,2.27072,2.25237,1.604608,2.37056,45.3949,40.6368,0.3752,0.1355,75,True
shared,2048,silu_and_mul,0.103424,0.103035,0.098304,0.106496,0.2028,243.3267,0.0017,0.8111,75,True
shared,2048,w2_gemm,0.954368,0.960737,0.889856,1.060864,54.0039,61.5279,0.4463,0.2051,75,True
shared,2048,full_chain,3.162624,3.153859,3.023872,3.211264,48.896,55.7008,0.4041,0.1857,75,True
shared,4096,w13_gemm,3.558912,3.549062,3.357696,3.611648,57.9274,37.7131,0.4787,0.1257,75,True
shared,4096,silu_and_mul,0.210944,0.210862,0.200704,0.217088,0.1988,238.6019,0.0016,0.7953,75,True
shared,4096,w2_gemm,1.793024,1.772872,1.702912,1.796096,57.489,51.4632,0.4751,0.1715,75,True
shared,4096,full_chain,5.465088,5.476066,5.316608,6.05184,56.5919,50.6532,0.4677,0.1688,75,True
shared,8192,w13_gemm,6.90176,6.936269,6.80448,7.20896,59.7408,31.6012,0.4937,0.1053,51,True
shared,8192,silu_and_mul,0.427008,0.425472,0.410624,0.4352,0.1965,235.741,0.0016,0.7858,51,True
shared,8192,w2_gemm,3.761152,3.823473,3.550208,4.195328,54.8126,42.3763,0.453,0.1413,51,True
shared,8192,full_chain,11.308032,11.359887,10.848256,12.19072,54.7009,42.2842,0.4521,0.1409,51,True
shared,16384,w13_gemm,13.984768,14.283633,13.5936,15.316992,58.9666,27.5926,0.4873,0.092,28,True
shared,16384,silu_and_mul,0.843776,0.84865,0.830464,0.868352,0.1988,238.6019,0.0016,0.7953,28,True
shared,16384,w2_gemm,7.490048,7.575736,7.376896,8.098816,55.0486,39.1989,0.4549,0.1307,28,True
shared,16384,full_chain,22.525952,22.637466,21.624832,23.868416,54.9197,39.1017,0.4539,0.1303,28,True
shared,32768,w13_gemm,27.593728,28.057477,26.735617,30.12096,59.7696,26.1444,0.494,0.0871,15,True
shared,32768,silu_and_mul,1.72032,1.722614,1.70496,1.737728,0.195,234.0571,0.0016,0.7802,15,True
shared,32768,w2_gemm,15.184896,15.287153,14.953472,16.444416,54.3062,37.0129,0.4488,0.1234,15,True
shared,32768,full_chain,44.673025,44.779991,43.37664,46.101505,55.3855,37.7434,0.4577,0.1258,15,True
shared,65536,w13_gemm,55.872511,56.204636,53.484543,59.624447,59.0368,24.923,0.4879,0.0831,7,True
shared,65536,silu_and_mul,3.444736,3.444988,3.42016,3.462144,0.1948,233.7788,0.0016,0.7793,7,True
