expert_kind,M,stage,median_ms,mean_ms,min_ms,p95_ms,achieved_tflops,achieved_gbps,compute_util,mem_bw_util,experts_used,rotation_ok
routed,1,w13_gemm,0.080896,0.081617,0.079872,0.08192,0.6222,622.4304,0.0017,0.7204,75,True
routed,1,silu_and_mul,0.015264,0.01621,0.013312,0.024576,0.0007,0.805,0.0,0.0009,75,True
routed,1,w2_gemm,0.044032,0.044875,0.044032,0.045056,0.5715,571.907,0.0016,0.6619,75,True
routed,1,full_chain,0.125952,0.126344,0.124928,0.126976,0.5995,599.8049,0.0017,0.6942,75,True
routed,2,w13_gemm,0.085536,0.086491,0.084992,0.088064,1.1769,588.9054,0.0033,0.6816,75,True
routed,2,silu_and_mul,0.014336,0.015416,0.013312,0.022528,0.0014,1.7143,0.0,0.002,75,True
routed,2,w2_gemm,0.044032,0.044998,0.044032,0.045152,1.1431,572.2791,0.0032,0.6624,75,True
routed,2,full_chain,0.13056,0.131321,0.129024,0.13312,1.1567,579.0118,0.0032,0.6702,75,True
routed,4,w13_gemm,0.086016,0.087144,0.084992,0.089088,2.3406,586.0952,0.0065,0.6784,75,True
routed,4,silu_and_mul,0.01536,0.016794,0.014336,0.022528,0.0027,3.2,0.0,0.0037,75,True
routed,4,w2_gemm,0.04096,0.04139,0.039936,0.041984,2.4576,616.0,0.0068,0.713,75,True
routed,4,full_chain,0.119808,0.12022,0.11776,0.121856,2.521,631.7949,0.007,0.7312,75,True
routed,8,w13_gemm,0.078848,0.079076,0.0768,0.080896,5.1067,640.4156,0.0141,0.7412,75,True
routed,8,silu_and_mul,0.016384,0.017569,0.01536,0.021504,0.005,6.0,0.0,0.0069,75,True
routed,8,w2_gemm,0.04096,0.042148,0.039936,0.051264,4.9152,617.6,0.0136,0.7148,75,True
routed,8,full_chain,0.119808,0.120629,0.11776,0.12288,5.0419,633.4359,0.0139,0.7331,75,True
routed,16,w13_gemm,0.078848,0.079814,0.077824,0.080896,10.2134,642.4935,0.0282,0.7436,75,True
routed,16,silu_and_mul,0.01536,0.01612,0.014336,0.02048,0.0107,12.8,0.0,0.0148,75,True
routed,16,w2_gemm,0.04096,0.042005,0.039936,0.043008,9.8304,620.8,0.0272,0.7185,75,True
routed,16,full_chain,0.120832,0.121551,0.119808,0.123904,9.9984,631.322,0.0276,0.7307,75,True
routed,32,w13_gemm,0.079872,0.080511,0.077824,0.082944,20.1649,638.359,0.0557,0.7388,75,True
routed,32,silu_and_mul,0.01536,0.016159,0.014336,0.022528,0.0213,25.6,0.0001,0.0296,75,True
routed,32,w2_gemm,0.041984,0.042908,0.039936,0.045056,19.1813,611.9024,0.053,0.7082,75,True
routed,32,full_chain,0.12288,0.123765,0.121856,0.126976,19.6635,627.2,0.0543,0.7259,75,True
routed,64,w13_gemm,0.08192,0.082904,0.079872,0.084992,39.3216,630.4,0.1086,0.7296,75,True
routed,64,silu_and_mul,0.01536,0.017391,0.014336,0.024576,0.0427,51.2,0.0001,0.0593,75,True
routed,64,w2_gemm,0.045056,0.046022,0.043008,0.047104,35.7469,581.8182,0.0987,0.6734,75,True
routed,64,full_chain,0.128,0.129046,0.125952,0.131072,37.7539,614.4,0.1043,0.7111,75,True
routed,128,w13_gemm,0.094208,0.094536,0.09216,0.095232,68.3854,562.0869,0.1889,0.6506,75,True
routed,128,silu_and_mul,0.01536,0.016994,0.014336,0.024576,0.0853,102.4,0.0002,0.1185,75,True
routed,128,w2_gemm,0.050176,0.050586,0.04608,0.052224,64.1985,543.347,0.1773,0.6289,75,True
routed,128,full_chain,0.144384,0.144713,0.142336,0.146432,66.9395,566.4681,0.1849,0.6556,75,True
routed,256,w13_gemm,0.100352,0.10063,0.09728,0.101472,128.3971,553.7959,0.3547,0.641,75,True
routed,256,silu_and_mul,0.01536,0.017101,0.014336,0.0256,0.1707,204.8,0.0005,0.237,75,True
