expert_kind,M,stage,median_ms,mean_ms,min_ms,p95_ms,achieved_tflops,achieved_gbps,compute_util,mem_bw_util,experts_used,rotation_ok
routed,1,w13_gemm,1.532768,1.53422,1.52416,1.540096,0.2627,262.7475,0.004,0.8211,8,True
routed,1,silu_and_mul,0.020208,0.020362,0.018432,0.02272,0.0041,4.8646,0.0001,0.0152,8,True
routed,1,w2_gemm,0.778448,0.779407,0.776736,0.780352,0.2586,258.6835,0.004,0.8084,8,True
routed,1,full_chain,2.32448,2.325574,2.322432,2.327488,0.2599,259.9295,0.004,0.8123,8,True
routed,2,w13_gemm,1.67816,1.678572,1.671168,1.685504,0.4799,240.0301,0.0074,0.7501,8,True
routed,2,silu_and_mul,0.019616,0.02047,0.018528,0.026464,0.0084,10.0228,0.0001,0.0313,8,True
routed,2,w2_gemm,0.841728,0.842552,0.838656,0.84448,0.4784,239.2895,0.0074,0.7478,8,True
routed,2,full_chain,2.527008,2.52874,2.521472,2.535424,0.4781,239.1849,0.0074,0.7475,8,True
routed,4,w13_gemm,1.684464,1.687733,1.681376,1.6928,0.9562,239.2242,0.0147,0.7476,8,True
routed,4,silu_and_mul,0.020304,0.021589,0.018848,0.02848,0.0161,19.3664,0.0002,0.0605,8,True
routed,4,w2_gemm,0.843776,0.844582,0.842048,0.845024,0.9544,238.8155,0.0147,0.7463,8,True
routed,4,full_chain,2.537728,2.539578,2.535104,2.545984,0.9521,238.3488,0.0146,0.7448,8,True
routed,8,w13_gemm,1.695248,1.696756,1.691648,1.69984,1.9001,237.886,0.0292,0.7434,8,True
routed,8,silu_and_mul,0.020048,0.020509,0.01872,0.030208,0.0327,39.2275,0.0005,0.1226,8,True
routed,8,w2_gemm,0.852416,0.853637,0.850912,0.855616,1.8895,236.6063,0.0291,0.7394,8,True
routed,8,full_chain,2.557376,2.558732,2.552,2.563008,1.8896,236.8636,0.0291,0.7402,8,True
routed,16,w13_gemm,1.7144,1.716879,1.708864,1.725824,3.7578,235.5917,0.0578,0.7362,8,True
routed,16,silu_and_mul,0.02032,0.021489,0.018656,0.030688,0.0645,77.4047,0.001,0.2419,8,True
routed,16,w2_gemm,0.867968,0.868893,0.865216,0.872096,3.7112,232.7822,0.0571,0.7274,8,True
routed,16,full_chain,2.594704,2.596307,2.588992,2.604864,3.7249,234.138,0.0573,0.7317,8,True
routed,32,w13_gemm,2.039808,2.040118,2.009088,2.089024,6.3167,198.6185,0.0972,0.6207,8,True
routed,32,silu_and_mul,0.0248,0.025647,0.023456,0.0288,0.1057,126.8439,0.0016,0.3964,8,True
routed,32,w2_gemm,1.044368,1.04563,1.0288,1.062848,6.1688,194.1541,0.0949,0.6067,8,True
routed,32,full_chain,3.102672,3.109164,3.08224,3.160064,6.2301,196.9456,0.0958,0.6155,8,True
routed,64,w13_gemm,2.135056,2.131304,2.089888,2.159744,12.0698,190.9242,0.1857,0.5966,8,True
routed,64,silu_and_mul,0.034816,0.035168,0.033504,0.036,0.1506,180.7059,0.0023,0.5647,8,True
routed,64,w2_gemm,1.070912,1.072079,1.046112,1.094016,12.0317,190.6881,0.1851,0.5959,8,True
routed,64,full_chain,3.287392,3.288545,3.250208,3.330048,11.7601,188.0322,0.1809,0.5876,8,True
routed,128,w13_gemm,3.122192,2.890419,2.286816,3.222656,16.5075,132.1554,0.254,0.413,8,True
routed,128,silu_and_mul,0.070368,0.070596,0.0696,0.07152,0.149,178.8158,0.0023,0.5588,8,True
routed,128,w2_gemm,1.443888,1.44545,1.436448,1.449984,17.8475,143.4279,0.2746,0.4482,8,True
routed,128,full_chain,4.682448,4.67639,4.554784,4.70016,16.5127,135.0344,0.254,0.422,8,True
