expert_kind,M,stage,median_ms,mean_ms,min_ms,p95_ms,achieved_tflops,achieved_gbps,compute_util,mem_bw_util,experts_used,rotation_ok
routed,1,w13_gemm,0.958464,0.959427,0.95232,0.964608,0.4201,420.1837,0.006,0.7003,8,True
routed,1,silu_and_mul,0.02048,0.02198,0.018432,0.031744,0.004,4.8,0.0001,0.008,8,True
routed,1,w2_gemm,0.403456,0.404358,0.402432,0.405504,0.499,499.1167,0.0071,0.8319,8,True
routed,1,full_chain,1.36448,1.365709,1.3568,1.371136,0.4427,442.8067,0.0063,0.738,8,True
routed,2,w13_gemm,0.958464,0.925431,0.87552,0.965632,0.8402,420.2649,0.012,0.7004,8,True
routed,2,silu_and_mul,0.021424,0.022157,0.020416,0.027648,0.0076,9.177,0.0001,0.0153,8,True
routed,2,w2_gemm,0.429056,0.430285,0.428032,0.432128,0.9385,469.4415,0.0134,0.7824,8,True
routed,2,full_chain,1.312256,1.314939,1.308672,1.31584,0.9206,460.5977,0.0132,0.7677,8,True
routed,4,w13_gemm,0.956416,0.932271,0.871424,0.964608,1.684,421.3276,0.0241,0.7022,8,True
routed,4,silu_and_mul,0.019456,0.02013,0.018432,0.027648,0.0168,20.2105,0.0002,0.0337,8,True
routed,4,w2_gemm,0.434176,0.435098,0.432128,0.437248,1.8548,464.1132,0.0265,0.7735,8,True
routed,4,full_chain,1.31584,1.316824,1.309696,1.319936,1.8363,459.6794,0.0262,0.7661,8,True
routed,8,w13_gemm,0.94312,0.917095,0.861184,0.9472,3.4155,427.5975,0.0488,0.7127,8,True
routed,8,silu_and_mul,0.02048,0.022,0.018464,0.031744,0.032,38.4,0.0005,0.064,8,True
routed,8,w2_gemm,0.44032,0.440916,0.437248,0.443392,3.6578,458.0465,0.0523,0.7634,8,True
routed,8,full_chain,1.308672,1.309532,1.303552,1.312768,3.6927,462.8733,0.0528,0.7715,8,True
routed,16,w13_gemm,0.947712,0.91765,0.868352,0.95232,6.7979,426.1826,0.0971,0.7103,8,True
routed,16,silu_and_mul,0.019456,0.019606,0.018432,0.022528,0.0674,80.8421,0.001,0.1347,8,True
routed,16,w2_gemm,0.446464,0.447038,0.442368,0.450592,7.215,452.5505,0.1031,0.7543,8,True
routed,16,full_chain,1.323008,1.323562,1.316864,1.329216,7.3053,459.1951,0.1044,0.7653,8,True
routed,32,w13_gemm,0.954368,0.954453,0.943104,0.966656,13.501,424.515,0.1929,0.7075,8,True
routed,32,silu_and_mul,0.019456,0.020521,0.018432,0.027648,0.1347,161.6842,0.0019,0.2695,8,True
routed,32,w2_gemm,0.46592,0.465737,0.457728,0.468992,13.8274,435.2,0.1975,0.7253,8,True
routed,32,full_chain,1.422336,1.423995,1.404928,1.43872,13.5903,429.6156,0.1941,0.716,8,True
routed,64,w13_gemm,0.966656,1.000184,0.948224,1.062912,26.6587,421.6949,0.3808,0.7028,8,True
routed,64,silu_and_mul,0.022528,0.022938,0.021504,0.024576,0.2327,279.2727,0.0033,0.4655,8,True
routed,64,w2_gemm,0.470528,0.472332,0.463872,0.483328,27.3839,434.0022,0.3912,0.7233,8,True
routed,64,full_chain,1.440256,1.440175,1.426432,1.449984,26.8424,429.1845,0.3835,0.7153,8,True
routed,128,w13_gemm,1.070592,1.095025,1.060864,1.133568,48.1412,385.4079,0.6877,0.6423,8,True
routed,128,silu_and_mul,0.03072,0.030802,0.029696,0.03584,0.3413,409.6,0.0049,0.6827,8,True
routed,128,w2_gemm,0.4864,0.487896,0.482304,0.494592,52.9807,425.7684,0.7569,0.7096,8,True
routed,128,full_chain,1.573888,1.575958,1.56672,1.589248,49.1267,401.7385,0.7018,0.6696,8,True
routed,256,w13_gemm,1.890304,1.890819,1.887232,1.893376,54.5305,223.5493,0.779,0.3726,8,True
routed,256,silu_and_mul,0.05632,0.056813,0.054368,0.059392,0.3724,446.8364,0.0053,0.7447,8,True
routed,256,w2_gemm,0.85504,0.856189,0.854016,0.858112,60.2774,248.9485,0.8611,0.4149,8,True
routed,256,full_chain,2.79504,2.79581,2.792448,2.798592,55.3265,236.3483,0.7904,0.3939,8,True
routed,512,w13_gemm,3.277312,3.278049,3.273728,3.279872,62.9047,135.0189,0.8986,0.225,8,True
routed,512,silu_and_mul,0.108544,0.108687,0.106496,0.109568,0.3864,463.6981,0.0055,0.7728,8,True
routed,512,w2_gemm,1.57184,1.572865,1.567744,1.574912,65.5787,142.7596,0.9368,0.2379,8,True
routed,512,full_chain,4.952064,4.95231,4.945952,4.95616,62.4547,144.8337,0.8922,0.2414,8,True
routed,1024,w13_gemm,6.0928,6.093006,6.088704,6.094848,67.6728,79.1664,0.9668,0.1319,8,True
routed,1024,silu_and_mul,0.211968,0.212462,0.20992,0.214016,0.3957,474.8985,0.0057,0.7915,8,True
routed,1024,w2_gemm,3.144704,3.14534,3.140608,3.147776,65.5573,78.6923,0.9365,0.1312,8,True
routed,1024,full_chain,9.445376,9.445174,9.437184,9.448448,65.488,87.9237,0.9355,0.1465,8,True
routed,2048,w13_gemm,12.128256,12.12926,12.125184,12.1344,67.9928,46.3411,0.9713,0.0772,8,True
routed,2048,silu_and_mul,0.418304,0.419041,0.415744,0.423936,0.4011,481.2925,0.0057,0.8022,8,True
routed,2048,w2_gemm,6.187008,6.188278,6.18496,6.19008,66.6424,47.4545,0.952,0.0791,8,True
routed,2048,full_chain,18.729472,18.731193,18.723841,18.742271,66.052,56.4332,0.9436,0.0941,8,True
routed,4096,w13_gemm,24.221697,24.222149,24.216576,24.225792,68.0905,29.7841,0.9727,0.0496,8,True
routed,4096,silu_and_mul,0.82944,0.830159,0.82432,0.833536,0.4045,485.4519,0.0058,0.8091,8,True
routed,4096,w2_gemm,12.348416,12.3494,12.34432,12.355584,66.7805,31.249,0.954,0.0521,8,True
routed,4096,full_chain,37.390335,37.389865,37.341183,37.399551,66.1732,40.3834,0.9453,0.0673,8,True
routed,8192,w13_gemm,47.959042,47.959739,47.952896,47.965183,68.7782,21.6891,0.9825,0.0361,8,True
routed,8192,silu_and_mul,1.652736,1.652494,1.646592,1.660928,0.406,487.2565,0.0058,0.8121,8,True
routed,8192,w2_gemm,24.657921,24.658453,24.655872,24.659967,66.8859,23.1336,0.9555,0.0386,8,True
routed,8192,full_chain,74.264065,74.264208,74.253311,74.272797,66.6335,32.5315,0.9519,0.0542,8,True
routed,16384,w13_gemm,95.565826,95.567075,95.543297,95.577087,69.0317,17.5557,0.9862,0.0293,7,True
routed,16384,silu_and_mul,3.294208,3.294312,3.286016,3.301376,0.4074,488.9226,0.0058,0.8149,7,True
routed,16384,w2_gemm,48.073727,48.074118,48.069633,48.075775,68.6141,19.5434,0.9802,0.0326,7,True
