expert_kind,M,stage,median_ms,mean_ms,min_ms,p95_ms,achieved_tflops,achieved_gbps,compute_util,mem_bw_util,experts_used,rotation_ok
routed,1,w13_gemm,0.54272,0.543785,0.541696,0.543744,0.7419,742.0604,0.002,0.8589,8,True
routed,1,silu_and_mul,0.016384,0.017694,0.014336,0.0256,0.005,6.0,0.0,0.0069,8,True
routed,1,w2_gemm,0.274464,0.271057,0.237568,0.27648,0.7335,733.6905,0.002,0.8492,8,True
routed,1,full_chain,0.820224,0.816047,0.782336,0.822272,0.7365,736.6292,0.002,0.8526,8,True
routed,2,w13_gemm,0.571392,0.571887,0.569344,0.57344,1.4094,704.9606,0.0039,0.8159,8,True
routed,2,silu_and_mul,0.01536,0.016588,0.014336,0.023552,0.0107,12.8,0.0,0.0148,8,True
routed,2,w2_gemm,0.288768,0.289408,0.287744,0.289792,1.3944,697.5036,0.0039,0.8073,8,True
routed,2,full_chain,0.863232,0.863766,0.861184,0.86528,1.3995,700.185,0.0039,0.8104,8,True
routed,4,w13_gemm,0.625664,0.626239,0.622592,0.628736,2.5742,644.0589,0.0071,0.7454,8,True
routed,4,silu_and_mul,0.01536,0.016444,0.014336,0.021504,0.0213,25.6,0.0001,0.0296,8,True
routed,4,w2_gemm,0.28672,0.298169,0.285696,0.319488,2.8087,702.8,0.0078,0.8134,8,True
routed,4,full_chain,0.863232,0.864175,0.861184,0.866304,2.7991,700.6975,0.0077,0.811,8,True
routed,8,w13_gemm,0.62976,0.629862,0.625664,0.631808,5.115,640.3642,0.0141,0.7412,8,True
routed,8,silu_and_mul,0.01536,0.015647,0.013344,0.017408,0.0427,51.2,0.0001,0.0593,8,True
routed,8,w2_gemm,0.287744,0.293113,0.284672,0.319488,5.5974,700.9253,0.0155,0.8113,8,True
routed,8,full_chain,0.867328,0.868108,0.86528,0.869376,5.5717,698.4085,0.0154,0.8083,8,True
routed,16,w13_gemm,0.636928,0.63476,0.581632,0.638976,10.1149,634.135,0.0279,0.734,8,True
routed,16,silu_and_mul,0.016384,0.017145,0.014336,0.021504,0.08,96.0,0.0002,0.1111,8,True
routed,16,w2_gemm,0.287808,0.288914,0.28672,0.290816,11.1923,702.0218,0.0309,0.8125,8,True
routed,16,full_chain,0.873472,0.874231,0.8704,0.876544,11.065,695.5217,0.0306,0.805,8,True
routed,32,w13_gemm,0.64,0.640679,0.636928,0.644096,20.1327,633.0368,0.0556,0.7327,8,True
routed,32,silu_and_mul,0.01536,0.016176,0.014336,0.019456,0.1707,204.8,0.0005,0.237,8,True
routed,32,w2_gemm,0.314368,0.315414,0.311296,0.318464,20.4933,645.0032,0.0566,0.7465,8,True
routed,32,full_chain,0.960512,0.961559,0.954368,0.965632,20.1247,636.1791,0.0556,0.7363,8,True
routed,64,w13_gemm,0.710144,0.68944,0.64512,0.714752,36.2881,574.0159,0.1002,0.6644,8,True
routed,64,silu_and_mul,0.01536,0.016902,0.014336,0.025568,0.3413,409.6,0.0009,0.4741,8,True
routed,64,w2_gemm,0.32256,0.3225,0.31744,0.324608,39.9458,633.092,0.1103,0.7327,8,True
routed,64,full_chain,0.971776,0.972349,0.965632,0.975872,39.7828,636.0885,0.1099,0.7362,8,True
routed,128,w13_gemm,0.719872,0.70742,0.653312,0.72704,71.5955,573.1778,0.1978,0.6634,8,True
routed,128,silu_and_mul,0.01536,0.015978,0.014336,0.017408,0.6827,819.2,0.0019,0.9481,8,True
routed,128,w2_gemm,0.346112,0.346647,0.344064,0.34816,74.4551,598.3432,0.2057,0.6925,8,True
routed,128,full_chain,1.011744,1.012779,1.007616,1.015808,76.4224,624.9519,0.2111,0.7233,8,True
routed,256,w13_gemm,0.77824,0.771299,0.704608,0.791552,132.4517,542.9895,0.3659,0.6285,8,True
routed,256,silu_and_mul,0.036864,0.036599,0.019456,0.037888,0.5689,682.6666,0.0016,0.7901,8,True
routed,256,w2_gemm,0.359424,0.359342,0.355328,0.362496,143.395,592.2279,0.3961,0.6854,8,True
routed,256,full_chain,1.1008,1.101542,1.086464,1.114112,140.4795,600.1116,0.3881,0.6946,8,True
routed,512,w13_gemm,0.991744,0.986399,0.96256,0.997376,207.8746,446.1828,0.5742,0.5164,8,True
routed,512,silu_and_mul,0.073728,0.072398,0.033792,0.075776,0.5689,682.6666,0.0016,0.7901,8,True
routed,512,w2_gemm,0.516608,0.508764,0.472064,0.525312,199.5308,434.3627,0.5512,0.5027,8,True
routed,512,full_chain,1.66144,1.648333,1.590272,1.673216,186.1515,431.6894,0.5142,0.4996,8,True
routed,1024,w13_gemm,2.004992,1.960059,1.794048,2.026496,205.6451,240.572,0.5681,0.2784,8,True
routed,1024,silu_and_mul,0.153088,0.152883,0.14848,0.155648,0.548,657.5518,0.0015,0.7611,8,True
routed,1024,w2_gemm,0.970752,0.956027,0.919552,0.978944,212.3698,254.9198,0.5867,0.295,8,True
routed,1024,full_chain,3.074048,3.076813,2.95936,3.1232,201.2197,270.1559,0.5559,0.3127,8,True
routed,2048,w13_gemm,3.743744,3.746098,3.270592,3.8144,220.2698,150.1269,0.6085,0.1738,8,True
routed,2048,silu_and_mul,0.305664,0.306075,0.30208,0.309248,0.5489,658.6533,0.0015,0.7623,8,True
routed,2048,w2_gemm,1.91488,1.860854,1.686528,1.93536,215.3226,153.3262,0.5948,0.1775,8,True
routed,2048,full_chain,5.757952,5.757931,5.706752,5.807104,214.8539,183.5661,0.5935,0.2125,8,True
routed,4096,w13_gemm,7.63904,7.572851,6.247424,7.865344,215.8998,94.4386,0.5964,0.1093,8,True
routed,4096,silu_and_mul,0.600064,0.600331,0.592896,0.605184,0.5592,671.0171,0.0015,0.7766,8,True
routed,4096,w2_gemm,3.9808,3.982377,3.549184,4.08576,207.1528,96.9343,0.5722,0.1122,8,True
routed,4096,full_chain,12.39808,12.468021,11.800576,13.27616,199.5661,121.789,0.5513,0.141,8,True
routed,8192,w13_gemm,15.566336,15.764685,15.55968,16.908287,211.9018,66.8229,0.5854,0.0773,8,True
routed,8192,silu_and_mul,1.195008,1.194516,1.181696,1.200128,0.5616,673.892,0.0016,0.78,8,True
routed,8192,w2_gemm,7.769088,7.825882,7.691264,8.16128,212.2859,73.4224,0.5864,0.085,8,True
routed,8192,full_chain,24.64256,24.955803,23.858175,26.357759,200.81,98.0385,0.5547,0.1135,8,True
routed,16384,w13_gemm,31.732224,32.281767,31.066113,34.168831,207.8981,52.8712,0.5743,0.0612,8,True
routed,16384,silu_and_mul,2.430464,2.42983,2.41152,2.43712,0.5522,662.6771,0.0015,0.767,8,True
routed,16384,w2_gemm,15.629312,15.758358,15.52896,17.061888,211.048,60.113,0.583,0.0696,8,True
routed,16384,full_chain,49.840639,50.182474,48.661503,52.141056,198.5718,84.8275,0.5485,0.0982,8,True
routed,32768,w13_gemm,65.236992,65.51804,63.181824,68.788284,202.2494,45.2625,0.5587,0.0524,8,True
routed,32768,silu_and_mul,4.85376,4.854192,4.827136,4.870144,0.553,663.6557,0.0015,0.7681,8,True
routed,32768,w2_gemm,32.236546,32.661506,31.283199,34.495487,204.6457,52.0441,0.5653,0.0602,8,True
routed,32768,full_chain,102.089729,102.001705,99.555328,103.412735,193.8872,76.9102,0.5356,0.089,8,True
routed,65536,w13_gemm,132.779007,132.938813,128.346115,137.285629,198.7383,41.4443,0.549,0.048,4,True
routed,65536,silu_and_mul,9.411072,9.411647,9.392128,9.42592,0.5705,684.5608,0.0016,0.7923,4,True
routed,65536,w2_gemm,66.689026,67.133747,65.483772,69.279747,197.8457,47.2959,0.5465,0.0547,4,True
routed,65536,full_chain,208.48793,208.46336,204.771332,212.153351,189.8805,72.4238,0.5245,0.0838,4,True
routed,131072,w13_gemm,337.273346,336.728639,327.853058,340.725769,156.4801,31.438,0.4323,0.0364,2,True
routed,131072,silu_and_mul,19.412992,19.413934,19.386368,19.439615,0.5531,663.7257,0.0015,0.7682,2,True
routed,131072,w2_gemm,142.912506,142.738043,136.669189,146.572281,184.6464,42.7318,0.5101,0.0495,2,True
routed,131072,full_chain,493.191162,493.680272,488.297485,498.205688,160.5373,60.0072,0.4435,0.0695,2,True
routed,262144,w13_gemm,688.025604,688.051138,680.724487,692.646912,153.4145,30.2369,0.4238,0.035,1,True
routed,262144,silu_and_mul,37.595135,37.596078,37.554176,37.633022,0.5712,685.4558,0.0016,0.7934,1,True
routed,262144,w2_gemm,292.16922,291.584884,281.55188,295.689209,180.637,41.1148,0.499,0.0476,1,True
routed,262144,full_chain,991.049225,992.03234,980.509705,1007.389709,159.7813,59.1152,0.4414,0.0684,1,True
