expert_kind,M,stage,median_ms,mean_ms,min_ms,p95_ms,achieved_tflops,achieved_gbps,compute_util,mem_bw_util,experts_used,rotation_ok
routed,1,w13_gemm,0.039968,0.041845,0.037728,0.058816,0.1574,157.5917,0.0024,0.4925,48,True
routed,1,silu_and_mul,0.01992,0.020092,0.01856,0.022528,0.0002,0.2313,0.0,0.0007,48,True
routed,1,w2_gemm,0.034672,0.035329,0.033184,0.037888,0.0907,90.8906,0.0014,0.284,48,True
routed,1,full_chain,0.065552,0.068664,0.063936,0.090048,0.144,144.2304,0.0022,0.4507,48,True
routed,2,w13_gemm,0.041056,0.042928,0.039552,0.052416,0.3065,153.59,0.0047,0.48,48,True
routed,2,silu_and_mul,0.0196,0.020423,0.018432,0.026976,0.0004,0.4702,0.0,0.0015,48,True
routed,2,w2_gemm,0.036864,0.038724,0.035552,0.04704,0.1707,85.6389,0.0026,0.2676,48,True
routed,2,full_chain,0.069248,0.072008,0.067584,0.094656,0.2727,136.7837,0.0042,0.4274,48,True
routed,4,w13_gemm,0.04112,0.043551,0.039584,0.059584,0.612,153.6996,0.0094,0.4803,48,True
routed,4,silu_and_mul,0.019744,0.020433,0.018656,0.025632,0.0008,0.9335,0.0,0.0029,48,True
routed,4,w2_gemm,0.036864,0.038114,0.035296,0.048032,0.3413,85.9444,0.0053,0.2686,48,True
routed,4,full_chain,0.06944,0.072533,0.067872,0.095296,0.5438,136.9069,0.0084,0.4278,48,True
routed,8,w13_gemm,0.041216,0.043384,0.03952,0.056288,1.2212,154.0373,0.0188,0.4814,48,True
routed,8,silu_and_mul,0.019584,0.020617,0.018432,0.024992,0.0016,1.8824,0.0,0.0059,48,True
routed,8,w2_gemm,0.036864,0.038472,0.035648,0.051904,0.6827,86.5556,0.0105,0.2705,48,True
routed,8,full_chain,0.069504,0.071993,0.067584,0.096096,1.0867,137.7827,0.0167,0.4306,48,True
routed,16,w13_gemm,0.04096,0.043778,0.039424,0.057152,2.4576,156.4,0.0378,0.4888,48,True
routed,16,silu_and_mul,0.019824,0.0205,0.018496,0.026048,0.0031,3.7191,0.0,0.0116,48,True
routed,16,w2_gemm,0.037024,0.038926,0.035488,0.052288,1.3594,87.3984,0.0209,0.2731,48,True
routed,16,full_chain,0.069872,0.072673,0.06832,0.088064,2.1619,139.0501,0.0333,0.4345,48,True
routed,32,w13_gemm,0.04056,0.043116,0.038656,0.063488,4.9637,160.77,0.0764,0.5024,48,True
routed,32,silu_and_mul,0.020016,0.020341,0.018976,0.02288,0.0061,7.3669,0.0001,0.023,48,True
routed,32,w2_gemm,0.03936,0.040817,0.038016,0.051232,2.5575,84.5008,0.0393,0.2641,48,True
routed,32,full_chain,0.07216,0.074484,0.067584,0.085792,4.1867,138.5011,0.0644,0.4328,48,True
routed,64,w13_gemm,0.050096,0.050951,0.049152,0.051168,8.0376,134.7454,0.1237,0.4211,48,True
routed,64,silu_and_mul,0.019952,0.020316,0.018688,0.022848,0.0123,14.7811,0.0002,0.0462,48,True
routed,64,w2_gemm,0.040752,0.042642,0.037472,0.059392,4.9403,86.0369,0.076,0.2689,48,True
routed,64,full_chain,0.07744,0.08151,0.075776,0.100256,7.8025,136.2512,0.12,0.4258,48,True
routed,128,w13_gemm,0.055296,0.056225,0.053952,0.057344,14.5636,130.3704,0.2241,0.4074,48,True
routed,128,silu_and_mul,0.019536,0.020237,0.018688,0.021856,0.0252,30.1916,0.0004,0.0943,48,True
routed,128,w2_gemm,0.040512,0.041893,0.036,0.053376,9.9391,95.4439,0.1529,0.2983,48,True
routed,128,full_chain,0.08432,0.085784,0.082304,0.096288,14.3317,138.3469,0.2205,0.4323,48,True
routed,256,w13_gemm,0.067984,0.069294,0.065472,0.07168,23.6911,119.5349,0.3645,0.3735,48,True
routed,256,silu_and_mul,0.019968,0.020408,0.018496,0.021408,0.0492,59.0769,0.0008,0.1846,48,True
routed,256,w2_gemm,0.04088,0.042943,0.038912,0.05744,19.6993,112.2192,0.3031,0.3507,48,True
routed,256,full_chain,0.108176,0.10871,0.10352,0.112,22.3423,128.4354,0.3437,0.4014,48,True
routed,512,w13_gemm,0.100128,0.100561,0.098464,0.100992,32.1711,99.4874,0.4949,0.3109,48,True
routed,512,silu_and_mul,0.020128,0.020255,0.018944,0.022432,0.0977,117.2146,0.0015,0.3663,48,True
routed,512,w2_gemm,0.051504,0.052047,0.050144,0.052832,31.2716,117.0649,0.4811,0.3658,48,True
routed,512,full_chain,0.15624,0.157128,0.154624,0.159008,30.9383,117.448,0.476,0.367,48,True
routed,1024,w13_gemm,0.172832,0.173695,0.17008,0.176128,37.2758,78.8713,0.5735,0.2465,48,True
routed,1024,silu_and_mul,0.0284,0.028904,0.025088,0.0328,0.1385,166.1476,0.0021,0.5192,48,True
routed,1024,w2_gemm,0.097632,0.09814,0.095232,0.099904,32.9935,91.2907,0.5076,0.2853,48,True
routed,1024,full_chain,0.339216,0.340849,0.336704,0.3432,28.4999,80.3706,0.4385,0.2512,48,True
routed,2048,w13_gemm,0.299808,0.322361,0.296416,0.393216,42.9772,69.9498,0.6612,0.2186,48,True
routed,2048,silu_and_mul,0.044608,0.044628,0.043232,0.045248,0.1763,211.5581,0.0027,0.6611,48,True
routed,2048,w2_gemm,0.228416,0.22937,0.22704,0.22976,28.2049,64.269,0.4339,0.2008,48,True
routed,2048,full_chain,0.966656,0.977313,0.944736,1.009632,20.0022,46.6441,0.3077,0.1458,48,True
routed,4096,w13_gemm,0.885232,0.874921,0.624704,1.279776,29.1108,40.2737,0.4479,0.1259,48,True
routed,4096,silu_and_mul,0.07928,0.079444,0.077824,0.081664,0.1984,238.0722,0.0031,0.744,48,True
routed,4096,w2_gemm,0.630752,0.635758,0.628736,0.64512,20.4278,41.5605,0.3143,0.1299,48,True
routed,4096,full_chain,1.765152,1.782504,1.75152,1.82576,21.9077,45.7413,0.337,0.1429,48,True
routed,8192,w13_gemm,2.228224,2.147999,1.448352,2.327232,23.1304,29.1765,0.3559,0.0912,48,True
routed,8192,silu_and_mul,0.154512,0.154794,0.152416,0.156736,0.2036,244.3094,0.0031,0.7635,48,True
routed,8192,w2_gemm,1.065408,1.065039,1.011968,1.124352,24.1877,46.2575,0.3721,0.1446,48,True
routed,8192,full_chain,3.410288,3.394736,3.34848,3.42256,22.6787,44.5838,0.3489,0.1393,48,True
