expert_kind,M,stage,median_ms,mean_ms,min_ms,p95_ms,achieved_tflops,achieved_gbps,compute_util,mem_bw_util,experts_used,rotation_ok
routed,1,w13_gemm,0.035904,0.037933,0.011264,0.058368,0.1752,175.4296,0.0014,0.5848,48,True
routed,1,silu_and_mul,0.01536,0.016669,0.013344,0.023552,0.0003,0.3,0.0,0.001,48,True
routed,1,w2_gemm,0.033792,0.035242,0.027648,0.048128,0.0931,93.2576,0.0008,0.3109,48,True
routed,1,full_chain,0.064592,0.067304,0.052224,0.082976,0.1462,146.374,0.0012,0.4879,48,True
routed,2,w13_gemm,0.036864,0.039814,0.03584,0.059392,0.3413,171.0555,0.0028,0.5702,48,True
routed,2,silu_and_mul,0.01536,0.015985,0.013344,0.021504,0.0005,0.6,0.0,0.002,48,True
routed,2,w2_gemm,0.03584,0.035592,0.031744,0.037888,0.1755,88.0857,0.0015,0.2936,48,True
routed,2,full_chain,0.067648,0.071237,0.065536,0.08704,0.2791,140.0189,0.0023,0.4667,48,True
routed,4,w13_gemm,0.036864,0.039465,0.03584,0.05632,0.6827,171.4444,0.0056,0.5715,48,True
routed,4,silu_and_mul,0.014336,0.015939,0.013408,0.025504,0.0011,1.2857,0.0,0.0043,48,True
routed,4,w2_gemm,0.03584,0.035884,0.03072,0.04096,0.3511,88.4,0.0029,0.2947,48,True
routed,4,full_chain,0.069632,0.072379,0.065536,0.09312,0.5423,136.5294,0.0045,0.4551,48,True
routed,8,w13_gemm,0.036864,0.039404,0.03584,0.059392,1.3653,172.2222,0.0113,0.5741,48,True
routed,8,silu_and_mul,0.014336,0.015196,0.013344,0.017408,0.0021,2.5714,0.0,0.0086,48,True
routed,8,w2_gemm,0.035872,0.03953,0.031808,0.063488,0.7015,88.9491,0.0058,0.2965,48,True
routed,8,full_chain,0.06656,0.069946,0.063488,0.08192,1.1347,143.8769,0.0094,0.4796,48,True
routed,16,w13_gemm,0.036864,0.03943,0.03584,0.057344,2.7307,173.7778,0.0226,0.5793,48,True
routed,16,silu_and_mul,0.01488,0.016489,0.013408,0.021504,0.0041,4.9548,0.0,0.0165,48,True
routed,16,w2_gemm,0.035696,0.035582,0.029696,0.03984,1.41,90.6499,0.0117,0.3022,48,True
routed,16,full_chain,0.068608,0.071499,0.065536,0.086144,2.2017,141.6119,0.0182,0.472,48,True
routed,32,w13_gemm,0.036864,0.040168,0.034816,0.05632,5.4613,176.8889,0.0451,0.5896,48,True
routed,32,silu_and_mul,0.014336,0.015935,0.013408,0.022528,0.0086,10.2857,0.0001,0.0343,48,True
