expert_kind,M,stage,median_ms,mean_ms,min_ms,p95_ms,achieved_tflops,achieved_gbps,compute_util,mem_bw_util,experts_used,rotation_ok
routed,1,w13_gemm,0.027648,0.029798,0.0256,0.04096,0.2276,227.8148,0.0006,0.2637,48,True
routed,1,silu_and_mul,0.01536,0.016984,0.014336,0.024576,0.0003,0.3,0.0,0.0003,48,True
routed,1,w2_gemm,0.027648,0.028915,0.0256,0.039936,0.1138,113.9815,0.0003,0.1319,48,True
routed,1,full_chain,0.059392,0.063407,0.057344,0.095232,0.159,159.1897,0.0004,0.1842,48,True
routed,2,w13_gemm,0.033792,0.035799,0.030784,0.053248,0.3724,186.6061,0.001,0.216,48,True
routed,2,silu_and_mul,0.015376,0.016567,0.014336,0.022528,0.0005,0.5994,0.0,0.0007,48,True
routed,2,w2_gemm,0.029696,0.032625,0.028672,0.054272,0.2119,106.3103,0.0006,0.123,48,True
routed,2,full_chain,0.06144,0.065249,0.059392,0.089088,0.3073,154.1667,0.0008,0.1784,48,True
routed,4,w13_gemm,0.0328,0.034671,0.03072,0.047104,0.7673,192.6868,0.0021,0.223,48,True
routed,4,silu_and_mul,0.01536,0.016161,0.014336,0.0184,0.001,1.2,0.0,0.0014,48,True
routed,4,w2_gemm,0.03072,0.033178,0.028672,0.052224,0.4096,103.1333,0.0011,0.1194,48,True
routed,4,full_chain,0.061936,0.065578,0.060416,0.091136,0.6097,153.4942,0.0017,0.1777,48,True
routed,8,w13_gemm,0.033792,0.036104,0.029696,0.050176,1.4895,187.8788,0.0041,0.2175,48,True
routed,8,silu_and_mul,0.01536,0.016403,0.014336,0.023552,0.002,2.4,0.0,0.0028,48,True
routed,8,w2_gemm,0.029744,0.033057,0.028672,0.044032,0.8461,107.2749,0.0023,0.1242,48,True
routed,8,full_chain,0.06144,0.064348,0.059392,0.08704,1.2293,155.8667,0.0034,0.1804,48,True
routed,16,w13_gemm,0.033792,0.035554,0.03072,0.047104,2.9789,189.5758,0.0082,0.2194,48,True
routed,16,silu_and_mul,0.01536,0.015869,0.014336,0.0184,0.004,4.8,0.0,0.0056,48,True
routed,16,w2_gemm,0.029696,0.032295,0.028672,0.043968,1.6949,108.9655,0.0047,0.1261,48,True
routed,16,full_chain,0.06144,0.064412,0.059392,0.095232,2.4586,158.1333,0.0068,0.183,48,True
routed,32,w13_gemm,0.03584,0.037252,0.032768,0.04608,5.6174,181.9429,0.0155,0.2106,48,True
routed,32,silu_and_mul,0.01536,0.016564,0.014336,0.023488,0.008,9.6,0.0,0.0111,48,True
routed,32,w2_gemm,0.03072,0.031723,0.028672,0.04096,3.2768,108.2667,0.0091,0.1253,48,True
routed,32,full_chain,0.06656,0.069962,0.063488,0.094208,4.539,150.1538,0.0125,0.1738,48,True
routed,64,w13_gemm,0.033792,0.035675,0.031744,0.049152,11.9156,199.7576,0.0329,0.2312,48,True
routed,64,silu_and_mul,0.01536,0.016957,0.014336,0.023552,0.016,19.2,0.0,0.0222,48,True
routed,64,w2_gemm,0.03072,0.032378,0.028672,0.044032,6.5536,114.1333,0.0181,0.1321,48,True
routed,64,full_chain,0.061952,0.064862,0.059392,0.083968,9.7531,170.3141,0.0269,0.1971,48,True
routed,128,w13_gemm,0.03072,0.031887,0.026624,0.041952,26.2144,234.6667,0.0724,0.2716,48,True
routed,128,silu_and_mul,0.01536,0.016772,0.014336,0.023552,0.032,38.4,0.0001,0.0444,48,True
routed,128,w2_gemm,0.03072,0.032235,0.0256,0.04096,13.1072,125.8667,0.0362,0.1457,48,True
routed,128,full_chain,0.062464,0.064326,0.060416,0.088064,19.3464,186.7541,0.0534,0.2162,48,True
routed,256,w13_gemm,0.037888,0.038931,0.033792,0.04608,42.5098,214.4865,0.1174,0.2482,48,True
routed,256,silu_and_mul,0.015376,0.016487,0.014336,0.023552,0.0639,76.7201,0.0002,0.0888,48,True
routed,256,w2_gemm,0.029184,0.030026,0.026624,0.037888,27.5941,157.193,0.0762,0.1819,48,True
routed,256,full_chain,0.07576,0.077924,0.063488,0.106496,31.9021,183.3901,0.0881,0.2123,48,True
routed,512,w13_gemm,0.033792,0.035207,0.029696,0.053248,95.3251,294.7879,0.2633,0.3412,48,True
routed,512,silu_and_mul,0.01536,0.016531,0.014336,0.021568,0.128,153.6,0.0004,0.1778,48,True
routed,512,w2_gemm,0.028672,0.030189,0.027648,0.041984,56.1737,210.2857,0.1552,0.2434,48,True
routed,512,full_chain,0.06032,0.063348,0.058336,0.083968,80.136,304.2122,0.2214,0.3521,48,True
routed,1024,w13_gemm,0.04096,0.041595,0.039936,0.041984,157.2864,332.8,0.4345,0.3852,48,True
routed,1024,silu_and_mul,0.016448,0.018067,0.014336,0.02448,0.2391,286.8794,0.0007,0.332,48,True
routed,1024,w2_gemm,0.034816,0.035491,0.029696,0.04096,92.5214,256.0,0.2556,0.2963,48,True
routed,1024,full_chain,0.067584,0.071086,0.064512,0.100256,143.0458,403.3939,0.3952,0.4669,48,True
routed,2048,w13_gemm,0.093712,0.094147,0.088064,0.096256,137.4947,223.7869,0.3798,0.259,48,True
routed,2048,silu_and_mul,0.021504,0.021176,0.016384,0.0256,0.3657,438.8571,0.001,0.5079,48,True
routed,2048,w2_gemm,0.04608,0.046389,0.04096,0.0512,139.8101,318.5778,0.3862,0.3687,48,True
routed,2048,full_chain,0.139824,0.140167,0.13312,0.14336,138.2825,322.468,0.382,0.3732,48,True
routed,4096,w13_gemm,0.145408,0.145777,0.137216,0.151552,177.2241,245.1831,0.4896,0.2838,48,True
routed,4096,silu_and_mul,0.029184,0.029452,0.026624,0.03072,0.5389,646.7368,0.0015,0.7485,48,True
routed,4096,w2_gemm,0.080896,0.081616,0.0768,0.084992,159.2774,324.0506,0.44,0.3751,48,True
routed,4096,full_chain,0.229376,0.230364,0.223232,0.237568,168.5897,352.0,0.4657,0.4074,48,True
routed,8192,w13_gemm,0.241664,0.242895,0.236544,0.246784,213.2697,269.0169,0.5891,0.3114,48,True
routed,8192,silu_and_mul,0.05376,0.05417,0.052224,0.05632,0.5851,702.1714,0.0016,0.8127,48,True
